Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
BENGKALIS,2017,559081.0,8616.36,0.325,72.27,132978169.7
ROKAN HILIR,2017,679663.0,9068.46,0.325,67.84,73997256.13
KEPULAUAN MERANTI,2017,183297.0,3623.56,0.325,64.7,16725883.45
KOTA PEKANBARU,2017,1091088.0,638.33,0.325,79.97,101113420.0
KOTA DUMAI,2017,297638.0,2059.61,0.325,73.46,30342836.58
JAMBI,2017,3515017.0,49026.59,0.335,69.99,
KERINCI,2017,236782.0,3445.2,0.28,70.03,8875707.51
MERANGIN,2017,377905.0,7540.12,0.3,68.3,13518638.5
SAROLANGUN,2017,290231.0,5935.89,0.36,69.03,13451752.83
BATANG HARI,2017,266971.0,5387.52,0.25,68.92,14695344.69
MUARO JAMBI,2017,421179.0,5225.8,320.0,67.86,21334800.47
TANJUNG JABUNG TIMUR,2017,216777.0,4546.62,0.28,62.61,21044142.88
TANJUNG JABUNG BARAT,2017,322527.0,5546.06,0.29,66.15,35670940.16
TEBO,2017,343003.0,6103.74,0.27,68.16,12981953.63
BUNGO,2017,359590.0,4760.83,0.34,69.04,16022888.06
KOTA JAMBI,2017,591134.0,169.89,0.39,76.74,26293309.98
KOTA SUNGAI PENUH,2017,88918.0,364.92,0.32,73.75,6371292.65
SUMATERA SELATAN,2017,8266983.0,86771.7,0.361,68.86,
OGAN KOMERING ULU,2017,359092.0,3774.5,0.329,68.28,12373945.6
OGAN KOMERING ILIR,2017,809203.0,17071.33,0.337,66.11,25096493.5
MUARA ENIM,2017,618762.0,6763.91,0.376,67.63,45782758.92
LAHAT,2017,401494.0,4333.07,0.356,66.38,15035348.18
MUSI RAWAS,2017,394384.0,6122.59,0.28,65.31,15877312.25
MUSI BANYUASIN,2017,629791.0,14550.79,0.266,66.96,56020033.18
BANYU ASIN,2017,833625.0,12262.76,0.316,65.85,24501190.27
OGAN KOMERING ULU SELATAN,2017,352926.0,4369.25,0.395,63.96,7592138.1
OGAN KOMERING ULU TIMUR,2017,663481.0,3412.72,0.285,67.84,12823900.21
OGAN ILIR,2017,419773.0,2302.86,0.345,65.63,9514376.07
EMPAT LAWANG,2017,244312.0,2234.1,0.317,64.21,4407371.57
PENUKAL ABAB LEMATANG ILIR,2017,184671.0,1842.56,0.352,62.58,5845939.29
MUSI RAWAS UTARA,2017,187635.0,5937.8,0.276,63.18,6393132.2
KOTA PALEMBANG,2017,1623099.0,352.51,0.373,77.22,129400326.1
KOTA PRABUMULIH,2017,182128.0,447.31,0.399,73.58,6586289.06
KOTA PAGAR ALAM,2017,136605.0,625.91,0.366,66.81,2548519.71
KOTA LUBUKLINGGAU,2017,226002.0,367.73,0.378,73.67,5636432.14
BENGKULU,2017,1975815.0,20128.35,0.351,69.95,
BENGKULU SELATAN,2017,165724.0,1219.22,0.37,69.04,4872689.59
REJANG LEBONG,2017,276875.0,1559.42,0.32,68.61,7946952.77
BENGKULU UTARA,2017,280893.0,4481.99,0.31,67.8,6977776.77
KAUR,2017,127528.0,2608.56,0.32,65.28,2967017.65
SELUMA,2017,209257.0,2432.16,0.33,65.0,3840069.99
MUKOMUKO,2017,176185.0,4138.68,0.31,67.07,4335451.57
LEBONG,2017,113961.0,1666.62,0.3,65.87,2859948.65
KEPAHIANG,2017,148795.0,738.97,0.33,66.6,3637168.66
BENGKULU TENGAH,2017,110162.0,1132.38,0.28,65.8,3902668.69
KOTA BENGKULU,2017,366435.0,150.35,0.37,78.82,19277488.21
LAMPUNG,2017,8289577.0,33570.25,0.334,68.25,
LAMPUNG BARAT,2017,298286.0,2107.99,0.291,66.06,6116299.64
TANGGAMUS,2017,586624.0,2947.59,0.305,64.94,13414930.28
LAMPUNG SELATAN,2017,992763.0,2227.38,0.3,66.95,38322378.83
LAMPUNG TIMUR,2017,1027476.0,3860.92,0.295,68.05,36143304.94
LAMPUNG TENGAH,2017,1261498.0,4559.57,0.308,68.95,60955292.63
LAMPUNG UTARA,2017,612100.0,2669.3,0.309,66.58,20532899.6
WAY KANAN,2017,441922.0,3522.11,0.306,65.97,12108683.35
TULANGBAWANG,2017,440511.0,3116.06,0.327,67.07,19861020.48
PESAWARAN,2017,435827.0,1288.08,0.291,64.43,13994055.99
PRINGSEWU,2017,393901.0,617.19,0.304,68.61,9685778.49
MESUJI,2017,198092.0,2200.41,0.276,61.87,8931802.31
TULANG BAWANG BARAT,2017,269162.0,1257.09,0.285,64.58,9854342.36
PESISIR BARAT,2017,152529.0,2939.6,0.34,62.2,3947578.32
KOTA BANDAR LAMPUNG,2017,1015910.0,183.75,0.349,75.98,50082837.14
KOTA METRO,2017,162976.0,73.21,0.373,75.87,5481684.05
KEP BANGKA BELITUNG,2017,1430865.0,16690.13,,,
BANGKA,2017,324305.0,3016.85,0.282,71.09,12807936.13
BELITUNG,2017,182418.0,2270.71,0.282,70.93,8739899.93
BANGKA BARAT,2017,204778.0,2851.41,0.282,67.94,13221427.41
BANGKA TENGAH,2017,188603.0,2259.98,0.282,68.99,7972210.19
BANGKA SELATAN,2017,201782.0,3598.24,0.282,65.02,8165172.68
BELITUNG TIMUR,2017,124587.0,2588.4,0.282,69.57,7151803.12
KOTA PANGKAL PINANG,2017,204392.0,104.54,0.282,76.86,12108566.32
KEPULAUAN RIAU,2017,2878407.0,8269.71,0.359,74.45,
KARIMUN,2017,235404.0,930.45,0.34,70.26,11618487.19
BINTAN,2017,158058.0,1317.15,0.3,72.91,17982664.56
NATUNA,2017,75968.0,1999.16,0.32,71.52,19604964.77
LINGGA,2017,86222.0,2210.82,0.34,63.45,3659729.61
KEPULAUAN ANAMBAS,2017,44519.0,627.03,0.29,67.06,17256606.21
KOTA BATAM,2017,1433101.0,1034.73,0.31,80.26,137925335.1
KOTA TANJUNG PINANG,2017,217736.0,150.37,0.34,78.0,18088953.23
DKI JAKARTA,2017,10374235.0,664.01,0.413,80.06,
KEP SERIBU,2017,23897.0,10.18,,,
KOTA JAKARTA SELATAN,2017,2226830.0,154.32,0.413,84.13,532511114.8
KOTA JAKARTA TIMUR,2017,2892783.0,182.7,0.413,81.61,414702563.1
KOTA JAKARTA PUSAT,2017,921344.0,52.38,0.413,80.49,581697980.1
KOTA JAKARTA BARAT,2017,2528065.0,124.44,0.413,80.47,392281649.7
