Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
KOTA PASURUAN,2018,199078,35.29,0.34,74.78,7707010.78
KOTA MOJOKERTO,2018,128282,16.47,0.34,77.14,6333225.96
KOTA MADIUN,2018,176697,33.29,0.36,80.33,13128893.64
KOTA SURABAYA,2018,2885555,350.54,0.36,81.74,538845464.9
KOTA BATU,2018,205788,136.74,0.33,75.04,15640890.16
BANTEN,2018,12689736,9662.92,0.385,71.95,
PANDEGLANG,2018,1209011,2746.89,0.319,64.34,26183539.56
LEBAK,2018,1295810,3426.56,0.303,63.37,26602743.2
TANGERANG,2018,3692693,1011.86,0.342,71.59,129825980.8
SERANG,2018,1501501,1734.28,0.284,65.93,71521738.86
KOTA TANGERANG,2018,2185304,153.93,0.33,77.92,161359628.3
KOTA CILEGON,2018,431305,175.5,0.352,72.65,96909883.4
KOTA SERANG,2018,677804,266.71,0.351,71.68,28980866.42
KOTA TANGERANG SELATAN,2018,1696308,147.19,0.379,81.17,75043782.35
BALI,2018,4292200,5590.21,0.377,74.77,
JEMBRANA,2018,276600,849.13,0.327,71.65,13136607.05
TABANAN,2018,443500,849.31,0.325,75.45,22127882.05
BADUNG,2018,656900,398.75,0.339,80.87,57791252.39
GIANYAR,2018,508100,364.36,0.305,76.71,26460397.14
KLUNGKUNG,2018,178300,313.96,0.392,70.9,8459337.54
BANGLI,2018,226200,526.76,0.313,68.96,6490234.11
KARANGASEM,2018,414800,839.32,0.339,66.49,15886255.44
BULELENG,2018,657200,1322.75,0.345,71.7,32926626.84
KOTA DENPASAR,2018,930600,125.87,0.342,83.3,51374779.12
NUSA TENGGARA BARAT,2018,5013687,18598.82,0.372,67.3,
LOMBOK BARAT,2018,685161,923.06,0.285,67.18,14470435.89
LOMBOK TENGAH,2018,939409,1095.03,0.332,65.36,16702136.71
LOMBOK TIMUR,2018,1192110,1230.76,0.364,65.35,18835069.42
SUMBAWA,2018,453797,6643.98,0.364,66.77,13686854.44
DOMPU,2018,248879,2391.54,0.304,66.97,6670370.66
BIMA,2018,483901,3405.63,0.383,65.62,10832083.05
SUMBAWA BARAT,2018,144707,1849.02,0.366,70.71,17143397.69
LOMBOK UTARA,2018,218533,776.25,0.309,63.83,4461899.51
KOTA MATARAM,2018,477476,61.3,0.399,78.43,17964323.18
KOTA BIMA,2018,169714,222.25,0.417,75.04,3945922.44
NUSA TENGGARA TIMUR,2018,5371519,47426.43,0.351,64.39,
SUMBA BARAT,2018,127872,737.42,0.355,62.91,2168939.69
SUMBA TIMUR,2018,255601,7000.5,0.31,64.65,5816332.94
KUPANG,2018,387479,5434.76,0.357,63.55,7140157.68
TIMOR TENGAH SELATAN,2018,465970,3947.0,0.292,61.58,7369199.07
TIMOR TENGAH UTARA,2018,251993,2669.7,0.321,62.65,3825631.29
BELU,2018,216783,1284.97,0.397,61.86,4147192.39
ALOR,2018,204380,2864.6,0.33,60.14,2831309.8
LEMBATA,2018,140390,1266.0,0.381,63.96,1724744.75
FLORES TIMUR,2018,253818,1813.2,0.344,63.55,4900913.87
SIKKA,2018,318920,1731.9,0.336,63.89,4732351.03
ENDE,2018,272988,2046.5,0.311,66.62,5689963.48
NGADA,2018,161196,1645.88,0.315,67.1,3233025.3
MANGGARAI,2018,333912,2096.44,0.282,63.32,4332594.72
ROTE NDAO,2018,165807,1280.0,0.336,61.51,2883900.16
MANGGARAI BARAT,2018,269029,2397.03,0.295,62.58,3187960.31
SUMBA TENGAH,2018,71801,1868.74,0.293,60.07,1093556.51
SUMBA BARAT DAYA,2018,338427,1480.46,0.333,61.89,3478338.0
NAGEKEO,2018,144414,1416.96,0.307,65.35,2102044.11
MANGGARAI TIMUR,2018,283313,2642.93,0.236,59.49,2969624.88
SABU RAIJUA,2018,94406,460.54,0.303,55.79,1306609.03
MALAKA,2018,189220,1160.63,0.275,59.66,2567429.42
KOTA KUPANG,2018,423800,180.27,0.354,78.84,22498164.62
KALIMANTAN BARAT,2018,5001664,149932.06,0.313,66.98,
SAMBAS,2018,532609,6394.7,0.266,66.61,18984588.5
BENGKAYANG,2018,251320,5396.3,0.263,66.85,7999796.42
LANDAK,2018,372609,8831.0,0.31,65.45,9755298.04
MEMPAWAH,2018,261299,2797.88,0.283,64.9,7603864.08
SANGGAU,2018,463995,12857.7,0.33,65.15,18119163.6
KETAPANG,2018,504008,31588.0,0.261,66.41,25000288.86
SINTANG,2018,413369,21638.0,0.248,66.07,13390619.49
KAPUAS HULU,2018,258984,29842.03,0.278,65.03,9427193.33
SEKADAU,2018,199576,6263.07,0.28,63.69,5856919.48
MELAWI,2018,205298,10640.8,0.3,65.05,4740568.63
KAYONG UTARA,2018,110899,4568.26,0.294,61.82,3796363.35
KUBU RAYA,2018,570914,8492.0,0.297,67.23,26343571.76
KOTA PONTIANAK,2018,637723,118.32,0.337,78.56,36075298.95
KOTA SINGKAWANG,2018,219061,504.0,0.319,71.08,9691384.46
KALIMANTAN TENGAH,2018,2612600,96612.5,0.342,70.42,
KOTAWARINGIN BARAT,2018,301252,10759.0,0.306,72.46,17827431.51
KOTAWARINGIN TIMUR,2018,453492,16796.0,0.335,70.56,24565446.71
KAPUAS,2018,359976,14999.0,0.328,68.68,15177558.35
BARITO SELATAN,2018,13245,883.0,0.322,69.73,5946350.99
BARITO UTARA,2018,132800,83.0,0.314,69.72,9220709.14
SUKAMARA,2018,61232,3827.0,0.357,67.52,3876161.3
LAMANDAU,2018,83382,6414.0,0.303,69.7,5005075.35
SERUYAN,2018,196848,16404.0,0.28,67.04,8061833.49
KATINGAN,2018,175000,175.0,0.301,67.91,7526197.34
PULANG PISAU,2018,125958,8997.0,0.266,67.54,4882525.05
GUNUNG MAS,2018,118855,10805.0,0.309,70.23,5159194.47
BARITO TIMUR,2018,122688,3834.0,0.317,70.82,7043149.5
MURUNG RAYA,2018,118500,237.0,0.32,67.56,7612047.58
KOTA PALANGKA RAYA,2018,283141,2399.5,0.366,80.34,16603158.62
KALIMANTAN SELATAN,2018,4182695,38744.23,0.344,70.17,
TANAH LAUT,2018,339195,3631.35,0.234,68.49,13241237.45
KOTABARU,2018,336719,9482.73,0.337,68.32,
BANJAR,2018,580026,4668.0,0.327,68.32,15569054.28
BARITO KUALA,2018,310016,2996.46,0.338,65.91,8055963.53
TAPIN,2018,189081,2700.82,0.281,69.53,7999159.37
HULU SUNGAI SELATAN,2018,235217,1804.94,0.317,68.41,6158256.68
HULU SUNGAI TENGAH,2018,269384,1472.0,0.32,68.32,6579335.7
HULU SUNGAI UTARA,2018,234604,892.7,0.325,65.06,4573844.56
TABALONG,2018,250809,3766.97,0.305,71.14,17319538.88
TANAH BUMBU,2018,351673,5006.96,0.332,70.05,19074223.89
BALANGAN,2018,129505,1878.3,0.31,67.88,10751678.17
KOTA BANJARMASIN,2018,700869,72.0,0.377,76.83,30394019.77
KOTA BANJAR BARU,2018,255597,371.0,0.364,78.83,8734149.61
KALIMANTAN TIMUR,2018,4244134,148137.31,0.342,75.83,
PASER,2018,195050,7730.88,0.299,71.61,48054117.69
KUTAI BARAT,2018,219542,20384.6,0.311,70.69,28353170.54
KUTAI KARTANEGARA,2018,806988,27263.1,0.302,73.15,161920385.8
KUTAI TIMUR,2018,416458,35747.5,0.326,72.56,127935404.0
BERAU,2018,385148,36962.37,0.303,74.01,37661474.14
PENAJAM PASER UTARA,2018,181685,3333.06,0.313,71.13,8877834.1
MAHAKAM ULU,2018,20675,15315.0,0.334,66.67,2511282.43
KOTA BALIKPAPAN,2018,671884,533.0,0.356,79.81,97699383.86
KOTA SAMARINDA,2018,859841,718.0,0.317,79.93,63564686.76
KOTA BONTANG,2018,159961,149.8,0.376,79.86,58785886.17
KALIMANTAN UTARA,2018,679209,75467.7,0.303,70.56,
MALINAU,2018,85241,42620.7,0.295,71.74,9364802.62
BULUNGAN,2018,139257,13925.72,0.302,71.23,16796823.01
TANA TIDUNG,2018,28971,4828.58,0.277,67.05,5145591.47
NUNUKAN,2018,207629,13841.9,0.294,65.67,22576028.62
KOTA TARAKAN,2018,262086,250.8,0.297,75.69,31670824.12
SULAWESI UTARA,2018,2484392,17441.05,0.39,72.2,
BOLAANG MONGONDOW,2018,244185,5397.69,0.32,66.91,7221430.9
MINAHASA,2018,338364,1025.85,0.4,74.97,15773922.44
KEPULAUAN SANGIHE,2018,130833,736.98,0.37,69.67,3931775.73
KEPULAUAN TALAUD,2018,91599,1251.02,0.35,68.32,2048962.9
MINAHASA SELATAN,2018,209501,1456.46,0.4,70.86,7949041.78
MINAHASA UTARA,2018,202317,1059.24,0.37,73.05,12623408.43
BOLAANG MONGONDOW UTARA,2018,79366,1856.86,0.38,66.32,2282855.64
SIAU TAGULANDANG BIARO,2018,66225,275.96,0.34,66.75,2160077.01
MINAHASA TENGGARA,2018,106303,730.63,0.33,69.66,4713095.7
BOLAANG MONGONDOW SELATAN,2018,65127,1932.6,0.36,64.49,1900606.44
BOLAANG MONGONDOW TIMUR,2018,71477,910.18,0.32,65.21,2626467.67
KOTA MANADO,2018,431880,162.53,0.4,78.41,34200431.94
KOTA BITUNG,2018,215711,313.51,0.34,73.27,15163426.63
KOTA TOMOHON,2018,105306,147.21,0.35,75.78,3921193.83
KOTA KOTAMOBAGU,2018,126198,184.33,0.39,72.55,3334652.03
SULAWESI TENGAH,2018,3010440,66418.8,0.346,68.88,
BANGGAI KEPULAUAN,2018,117600,2488.79,0.345,64.68,3601970.38
BANGGAI,2018,371300,9672.7,0.311,69.85,26853265.89
MOROWALI,2018,119300,5472.0,0.304,71.14,37356484.45
POSO,2018,251200,7112.25,0.3,70.68,8687017.64
DONGGALA,2018,301600,5275.69,0.29,65.14,11260129.7
TOLI-TOLI,2018,233400,4079.77,0.369,64.6,7866878.19
BUOL,2018,158800,4043.57,0.348,67.3,5521973.16
PARIGI MOUTONG,2018,482800,6231.85,0.305,64.85,16971882.56
TOJO UNA-UNA,2018,152500,5721.15,0.313,63.38,5302054.69
SIGI,2018,237000,5196.02,0.303,67.66,8422171.97
BANGGAI LAUT,2018,73700,725.67,0.298,64.8,2233054.88
MOROWALI UTARA,2018,125600,10004.28,0.314,67.95,10161290.28
KOTA PALU,2018,385600,395.06,0.357,80.91,22726172.53
SULAWESI SELATAN,2018,8748052,45119.16,0.397,70.9,
KEPULAUAN SELAYAR,2018,133315,1357.03,0.338,66.04,5857277.94
BULUKUMBA,2018,416773,1154.58,0.354,67.7,13198917.32
BANTAENG,2018,186525,395.83,0.342,67.76,7769501.82
JENEPONTO,2018,361892,749.79,0.309,63.33,9416911.73
TAKALAR,2018,293136,566.51,0.358,66.07,9324821.98
GOWA,2018,751981,1883.33,0.384,68.87,19071982.68
SINJAI,2018,242127,819.96,0.369,66.24,10163057.33
MAROS,2018,348682,1619.12,0.337,68.94,21311332.1
PANGKAJENE DAN KEPULAUAN,2018,331979,898.29,0.321,67.71,23944893.26
BARRU,2018,173357,1174.72,0.379,70.05,6614101.75
BONE,2018,751323,4559.0,0.412,65.04,33120526.6
SOPPENG,2018,228153,1500.0,0.359,67.6,10005938.3
WAJO,2018,400262,2506.19,0.369,68.57,18709890.44
SIDENRENG RAPPANG,2018,296684,1102.1,0.34,70.6,12937370.32
PINRANG,2018,374460,1961.77,0.359,70.62,18087778.99
ENREKANG,2018,205254,1786.01,0.389,72.15,6719799.76
LUWU,2018,360537,2909.08,0.362,69.6,14441940.32
TANA TORAJA,2018,234529,2054.3,0.369,67.66,6824872.59
LUWU UTARA,2018,310744,7502.58,0.361,68.79,11999256.5
LUWU TIMUR,2018,289661,6944.88,0.398,72.16,20393893.93
TORAJA UTARA,2018,231686,1151.47,0.41,68.49,8696497.07
KOTA MAKASAR,2018,1503664,175.77,0.383,81.73,160207659.3
KOTA PAREPARE,2018,143075,99.33,0.382,77.19,6602362.55
KOTA PALOPO,2018,178253,247.52,0.338,77.3,7285142.35
SULAWESI TENGGARA,2018,2653654,39439.18,0.409,70.61,
BUTON,2018,101618,1648.04,0.381,65.08,3549806.49
MUNA,2018,221343,2057.69,0.38,68.47,6420780.55
KONAWE,2018,249010,6087.68,0.344,70.72,8286262.01
KOLAKA,2018,256827,3283.59,0.34,72.07,23656632.04
KONAWE SELATAN,2018,309298,4237.74,0.345,67.51,11170287.17
BOMBANA,2018,180035,3316.16,0.358,65.04,5896515.23
WAKATOBI,2018,95737,473.62,0.389,68.52,3997974.59
KOLAKA UTARA,2018,147863,3392.0,0.329,68.44,7955539.21
BUTON UTARA,2018,63070,1923.03,0.361,67.13,2876546.92
KONAWE UTARA,2018,62403,5101.76,0.372,68.5,3591795.67
KOLAKA TIMUR,2018,130860,3992.53,0.361,65.53,4065157.73
KONAWE KEPULAUAN,2018,33680,867.58,0.337,64.36,1262006.84
MUNA BARAT,2018,80619,1022.89,0.414,64.11,2358289.69
BUTON TENGAH,2018,92165,958.0,0.508,63.46,2169779.51
BUTON SELATAN,2018,79979,510.0,0.322,63.47,2693687.35
KOTA KENDARI,2018,381628,271.8,0.395,82.22,20285726.42
KOTA BAUBAU,2018,167519,295.07,0.453,74.67,8251064.01
GORONTALO,2018,1185492,12776.62,0.4,67.71,
BOALEMO,2018,162577,2567.36,0.4,64.99,4953066.88
KAB GORONTALO,2018,377048,2124.6,0.4,65.78,11834516.01
POHUWATO,2018,157551,4244.31,0.4,64.44,6083528.57
BONE BOLANGO,2018,159194,1984.31,0.4,69.06,4201159.27
GORONTALO UTARA,2018,114036,1777.02,0.4,64.06,3079617.49
KOTA GORONTALO,2018,215086,79.02,0.4,76.53,7748239.18
SULAWESI BARAT,2018,1355554,17100.53,0.37,65.1,
MAJENE,2018,171272,947.84,0.372,66.01,4612692.58
POLEWALI MANDAR,2018,437662,2022.3,0.346,63.14,12442690.11
MAMASA,2018,159201,3005.88,0.377,64.66,2763513.22
MAMUJU,2018,286389,4979.89,0.376,67.11,10999826.42
MAMUJU UTARA / PASANGKAYU,2018,170203,3043.75,0.352,66.6,
MAMUJU TENGAH,2018,130827,3100.87,0.337,64.43,2974458.63
MALUKU,2018,1773776,46914.03,0.34,68.87,
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2018,112429,4465.79,0.34,62.39,
MALUKU TENGGARA,2018,99591,1031.81,0.34,65.53,2986767.79
MALUKU TENGAH,2018,372529,7953.81,0.34,70.6,8093698.98
BURU,2018,139658,4932.32,0.34,68.25,2241801.38
KEPULAUAN ARU,2018,95005,8152.42,0.34,63.12,3252879.09
SERAM BAGIAN BARAT,2018,170969,5033.38,0.34,65.14,2810460.11
SERAM BAGIAN TIMUR,2018,113180,6429.88,0.34,62.98,2850258.28
MALUKU BARAT DAYA,2018,72840,4581.06,0.34,60.64,1521634.17
BURU SELATAN,2018,62271,3780.56,0.34,63.62,1304710.36
KOTA AMBON,2018,461699,298.61,0.34,80.24,13822431.18
KOTA TUAL,2018,73605,254.39,0.34,67.21,2275288.2
MALUKU UTARA,2018,1232579,31982.5,0.328,67.76,
HALMAHERA BARAT,2018,116516,1704.2,0.242,64.54,2084519.54
HALMAHERA TENGAH,2018,54190,2653.76,0.355,64.66,2195694.05
KEPULAUAN SULA,2018,100980,3304.32,0.299,62.96,2287171.22
HALMAHERA SELATAN,2018,231184,8148.9,0.252,63.39,6317524.38
HALMAHERA UTARA,2018,190519,3896.9,0.334,67.3,5378465.88
HALMAHERA TIMUR,2018,92591,6571.37,0.253,66.2,3206112.66
PULAU MOROTAI,2018,65564,2476.0,0.26,61.39,1438405.88
PULAU TALIABU,2018,52506,1469.93,0.246,59.67,1325581.03
KOTA TERNATE,2018,228106,111.39,0.274,79.13,9687833.41
KOTA TIDORE KEPULAUAN,2018,100422,1645.73,0.308,69.89,2660796.74
PAPUA BARAT,2018,937458,64134.66,0.394,63.74,
FAKFAK,2018,77381,14320.0,0.397,66.99,4904662.1
KAIMANA,2018,58404,16241.84,0.44,63.67,2580272.03
TELUK WONDAMA,2018,32769,3959.53,0.41,58.86,1450803.87
TELUK BINTUNI,2018,63091,20840.83,0.387,63.13,28998662.89
MANOKWARI,2018,170897,3186.28,0.398,71.17,9159626.19
SORONG SELATAN,2018,46021,6594.31,0.422,61.01,1760316.66
SORONG,2018,86994,6544.23,0.367,64.32,10489106.57
RAJA AMPAT,2018,47885,8034.44,0.394,62.84,2703433.37
TAMBRAUW,2018,13804,11529.18,0.344,51.95,212314.68
MAYBRAT,2018,40102,5461.69,0.408,58.16,675632.09
MANOKWARI SELATAN,2018,23617,2812.44,0.389,58.84,757544.02
PEGUNUNGAN ARFAK,2018,30409,2773.74,0.391,55.31,187679.91
KOTA SORONG,2018,247084,656.64,0.33,77.35,15097466.21
PAPUA,2018,3265202,78346.39,0.384,60.06,
MERAUKE,2018,223389,44071.0,0.388,69.38,14536817.92
JAYAWIJAYA,2018,212811,13925.31,0.318,56.82,7614070.79
JAYAPURA,2018,125975,11157.15,0.337,71.25,14531351.24
NABIRE,2018,145101,11112.61,0.367,67.7,10340871.94
KEPULAUAN YAPEN,2018,95007,2050.0,0.374,67.0,3907656.82
BIAK NUMFOR,2018,144697,2602.0,0.43,71.96,5183882.22
PANIAI,2018,170193,6525.25,0.367,55.83,3894878.91
PUNCAK JAYA,2018,123591,5996.94,0.352,47.39,1300994.67
MIMIKA,2018,210413,21633.0,0.263,73.15,85333875.01
BOVEN DIGOEL,2018,66209,27108.0,0.424,60.83,4566549.78
MAPPI,2018,94671,24118.0,0.416,57.72,2674531.74
ASMAT,2018,92909,31983.69,0.385,49.37,2258836.8
YAHUKIMO,2018,187021,17152.0,0.4,48.51,2231866.09
PEGUNUNGAN BINTANG,2018,73473,15683.0,0.38,44.22,1763242.6
TOLIKARA,2018,136576,14564.0,0.361,48.85,1463354.55
SARMI,2018,38210,17742.0,0.42,63.0,2534430.42
KEEROM,2018,55018,8390.0,0.382,65.75,2701905.41
WAROPEN,2018,29480,10977.09,0.279,64.8,1916368.63
SUPIORI,2018,19104,678.32,0.382,61.84,946748.46
MAMBERAMO RAYA,2018,22313,23813.91,0.405,51.24,1484862.81
NDUGA,2018,97012,12941.0,0.212,29.42,1118455.39
LANNY JAYA,2018,176687,6077.4,0.232,47.34,1676460.88
MAMBERAMO TENGAH,2018,47487,3743.64,0.248,46.41,1080533.34
YALIMO,2018,60822,4330.29,0.337,47.13,1115609.9
PUNCAK,2018,107822,8055.0,0.233,41.81,1286280.95
DOGIYAI,2018,94997,4237.4,0.359,54.44,1207712.89
INTAN JAYA,2018,48318,3922.02,0.358,46.55,1183785.69
DEIYAI,2018,72206,537.39,0.351,49.55,1267399.51
KOTA JAYAPURA,2018,293690,935.92,0.31,79.58,30422576.27
ACEH,2019,5371532,56834.77,0.319,71.9,
SIMEULUE,2019,93228,1821.75,0.34,65.7,2211885.58
ACEH SINGKIL,2019,124101,1852.82,0.282,68.91,2395411.85
ACEH SELATAN,2019,238081,4175.38,0.273,66.9,5479425.66
ACEH TENGGARA,2019,216495,4179.12,0.278,69.36,4906917.38
ACEH TIMUR,2019,436081,5409.41,0.249,67.39,10280799.51
ACEH TENGAH,2019,212494,4468.42,0.256,73.14,7472445.9
ACEH BARAT,2019,210113,2782.87,0.33,71.22,7964354.62
ACEH BESAR,2019,425216,2891.48,0.288,73.55,13241274.86
PIDIE,2019,444976,3177.49,0.249,70.41,10549225.37
BIREUEN,2019,471635,1796.99,0.295,72.27,12886847.77
ACEH UTARA,2019,619407,2705.26,0.308,69.22,19674952.38
ACEH BARAT DAYA,2019,150393,1882.28,0.301,66.56,3854318.59
GAYO LUES,2019,94100,5541.29,0.29,66.87,2608733.7
ACEH TAMIANG,2019,295011,2187.66,0.289,69.23,7385341.17
NAGAN RAYA,2019,167294,3524.16,0.252,69.11,7411691.61
ACEH JAYA,2019,92892,3872.35,0.253,69.74,2575142.32
BENER MERIAH,2019,148175,1907.4,0.267,72.97,4423114.94
PIDIE JAYA,2019,161215,939.0,0.236,72.87,3449866.38
BANDA ACEH,2019,270321,56.77,0.289,,
SABANG,2019,34874,122.06,0.281,,
LANGSA,2019,176811,224.24,0.363,,
LHOKSEUMAWE,2019,207202,132.97,0.306,,
SUBULUSSALAM,2019,81417,1183.6,0.342,,
SUMATERA UTARA,2019,14562549,72460.76,0.317,71.74,
NIAS,2019,143319,902.4,0.274,61.65,3824854.92
MANDAILING NATAL,2019,447287,6547.26,0.262,66.52,13544735.74
TAPANULI SELATAN,2019,281931,4201.04,0.247,69.75,13932335.09
TAPANULI TENGAH,2019,376667,2307.68,0.309,68.86,9956777.57
TAPANULI UTARA,2019,301789,3895.6,0.307,73.33,7889049.56
TOBA SAMOSIR / TOBA,2019,183712,2291.62,0.275,74.92,
LABUHAN BATU,2019,494178,2772.38,0.277,71.94,33610429.38
ASAHAN,2019,729795,3737.83,0.279,69.92,37440406.46
SIMALUNGUN,2019,867922,4601.48,0.274,72.98,38057431.78
DAIRI,2019,284304,2083.6,0.287,71.42,9166421.25
KARO,2019,415878,2206.88,0.264,74.25,20584725.88
DELI SERDANG,2019,2195709,2581.23,0.273,75.43,109334140.0
LANGKAT,2019,1041775,6140.04,0.266,70.76,42515176.42
NIAS SELATAN,2019,319902,2531.7,0.319,61.59,6861477.66
HUMBANG HASUNDUTAN,2019,190186,2351.51,0.289,68.83,5951262.9
PAKPAK BHARAT,2019,48935,1365.61,0.279,67.47,1178215.25
SAMOSIR,2019,126188,1850.04,0.301,70.55,4434721.24
SERDANG BEDAGAI,2019,616396,1949.18,0.257,70.21,27959443.68
BATU BARA,2019,416493,888.14,0.277,68.35,34047849.02
PADANG LAWAS UTARA,2019,272713,3945.56,0.27,69.29,11619731.69
PADANG LAWAS,2019,281239,3914.41,0.231,68.16,11371986.51
LABUHAN BATU SELATAN,2019,338982,3079.61,0.25,71.39,27132303.86
LABUHAN BATU UTARA,2019,363816,3686.01,0.267,71.43,24378344.14
NIAS UTARA,2019,137967,1238.06,0.284,61.98,3515983.26
NIAS BARAT,2019,82154,464.22,0.258,61.14,1816847.82
KOTA SIBOLGA,2019,87626,11.47,0.272,73.41,5531543.45
KOTA TANJUNG BALAI,2019,175223,60.07,0.268,68.51,8951450.97
KOTA PEMATANG SIANTAR,2019,255317,75.92,0.33,78.57,13933249.49
KOTA TEBING TINGGI,2019,164402,39.17,0.324,75.08,5924199.35
KOTA MEDAN,2019,2279894,279.29,0.352,80.97,241482349.9
KOTA BINJAI,2019,276597,93.77,0.351,75.89,11700098.06
KOTA PADANGSIDIMPUAN,2019,221827,159.3,0.31,75.06,6373126.29
KOTA GUNUNGSITOLI,2019,142426,208.68,0.318,69.3,5513916.66
SUMATERA BARAT,2019,5441200,42119.59,0.306,72.39,
KEPULAUAN MENTAWAI,2019,92000,5983.22,0.336,61.26,4665093.44
PESISIR SELATAN,2019,463900,6045.65,0.246,70.08,14037128.66
SOLOK,2019,373400,3590.4,0.285,69.08,13580513.02
SIJUNJUNG,2019,237400,3150.58,0.293,67.66,9148878.97
TANAH DATAR,2019,348200,1377.19,0.278,72.14,13090685.71
PADANG PARIAMAN,2019,415600,1342.27,0.297,70.59,21255473.34
AGAM,2019,491300,2226.27,0.251,72.37,20540992.18
LIMA PULUH KOTA,2019,382800,3273.41,0.238,69.67,15625340.42
PASAMAN,2019,281200,3902.44,0.33,66.46,8907768.5
SOLOK SELATAN,2019,171100,3282.14,0.295,68.94,5574519.08
DHARMASRAYA,2019,247600,2920.93,0.278,71.52,10349563.18
PASAMAN BARAT,2019,443700,3852.99,0.283,68.21,15401338.08
KOTA PADANG,2019,950900,694.38,0.312,82.68,62420470.82
KOTA SOLOK,2019,71000,58.72,0.271,78.38,4047979.83
KOTA SAWAH LUNTO,2019,62500,231.95,0.289,72.39,3679850.22
KOTA PADANG PANJANG,2019,53700,23.56,0.322,78.0,3474832.65
KOTA BUKITTINGGI,2019,130800,24.17,0.267,80.71,8695316.61
KOTA PAYAKUMBUH,2019,135600,74.55,0.276,78.95,6825167.93
KOTA PARIAMAN,2019,88500,64.77,0.3,76.7,5005498.56
RIAU,2019,6971745,89935.89,334.0,73.0,
KUANTAN SINGINGI,2019,327316,5457.86,317.0,70.78,31869962.39
INDRAGIRI HULU,2019,441789,7871.85,295.0,70.05,41592733.57
INDRAGIRI HILIR,2019,740598,13521.26,303.0,66.84,62697908.77
PELALAWAN,2019,483622,13262.11,280.0,71.85,47732021.83
SIAK,2019,489996,7805.54,298.0,74.07,82105132.65
KAMPAR,2019,871117,10352.8,300.0,73.15,77267151.39
ROKAN HULU,2019,69212,7658.15,306.0,69.93,33882260.19
BENGKALIS,2019,573003,8616.36,288.0,73.44,140378907.1
ROKAN HILIR,2019,714497,9068.46,306.0,69.4,74588117.75
KEPULAUAN MERANTI,2019,185516,3623.56,302.0,65.93,18394545.3
KOTA PEKANBARU,2019,1143359,638.33,363.0,81.35,118763892.1
KOTA DUMAI,2019,308812,2059.61,361.0,74.64,36147146.52
JAMBI,2019,3624600,49026.59,0.321,71.26,
KERINCI,2019,238700,3445.2,0.29,70.95,9912468.66
MERANGIN,2019,388900,7540.12,0.31,69.07,15288073.47
SAROLANGUN,2019,301900,5935.89,0.27,69.72,15126920.14
BATANG HARI,2019,272900,5387.52,0.31,69.67,16463293.47
MUARO JAMBI,2019,443400,5225.8,0.29,69.01,24294993.41
TANJUNG JABUNG TIMUR,2019,220000,4546.62,0.29,63.92,24680300.18
TANJUNG JABUNG BARAT,2019,333900,5546.06,0.28,67.54,42945449.52
TEBO,2019,354500,6103.74,0.26,69.02,14593435.01
BUNGO,2019,374800,4760.83,0.33,69.86,17895939.78
KOTA JAMBI,2019,604700,169.89,0.34,78.26,30636929.87
KOTA SUNGAI PENUH,2019,90900,364.92,0.33,75.36,7479424.37
SUMATERA SELATAN,2019,8497196,86771.7,0.331,70.02,
OGAN KOMERING ULU,2019,368756,3774.5,0.32,69.45,14647672.61
OGAN KOMERING ILIR,2019,832151,17071.33,0.28,66.96,28752468.86
MUARA ENIM,2019,637556,6763.91,0.323,68.88,57333510.43
LAHAT,2019,409348,4333.07,0.334,67.62,17130200.59
MUSI RAWAS,2019,405175,6122.59,0.239,66.92,19062784.3
MUSI BANYUASIN,2019,649085,14550.79,0.309,67.83,65810995.08
BANYU ASIN,2019,857097,12262.76,0.329,66.9,28655740.78
OGAN KOMERING ULU SELATAN,2019,363004,4369.25,0.323,65.43,8785707.21
OGAN KOMERING ULU TIMUR,2019,67708,3412.72,0.276,69.34,14935851.05
OGAN ILIR,2019,429595,2302.86,0.347,67.22,11159403.69
EMPAT LAWANG,2019,250465,2234.1,0.318,65.1,4991079.29
PENUKAL ABAB LEMATANG ILIR,2019,190062,1842.56,0.321,64.33,7083680.44
MUSI RAWAS UTARA,2019,192540,5937.8,0.267,64.32,7103694.8
KOTA PALEMBANG,2019,1674243,352.51,0.345,78.44,154220318.1
KOTA PRABUMULIH,2019,188669,447.31,0.344,74.4,7791060.71
KOTA PAGAR ALAM,2019,139192,625.91,0.329,68.44,2791616.17
KOTA LUBUKLINGGAU,2019,233178,367.73,0.321,74.81,6643681.12
BENGKULU,2019,2001578,20128.35,0.34,71.21,
BENGKULU SELATAN,2019,168936,1219.22,0.32,70.27,5707513.37
REJANG LEBONG,2019,279436,1559.42,0.3,70.1,9368975.74
BENGKULU UTARA,2019,285852,4481.99,0.3,68.8,8250039.75
KAUR,2019,130266,2608.56,0.29,66.78,3524507.74
SELUMA,2019,212367,2432.16,0.3,66.69,4613171.16
MUKOMUKO,2019,182338,4138.68,0.29,68.12,5155269.33
LEBONG,2019,107119,1666.62,0.31,66.84,3346031.32
KEPAHIANG,2019,151682,738.97,0.27,67.67,4318930.18
BENGKULU TENGAH,2019,114043,1132.38,0.26,67.3,4606570.36
KOTA BENGKULU,2019,369539,150.35,0.36,80.35,23210398.95
