Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
BOLAANG MONGONDOW UTARA,2017,1856.86,78437.0,2103357.59,0.38,65.6
SIAU TAGULANDANG BIARO,2017,275.96,65976.0,1950875.85,0.35,66.03
MINAHASA TENGGARA,2017,730.63,105714.0,4365550.32,0.35,68.91
BOLAANG MONGONDOW SELATAN,2017,1932.6,64171.0,1727328.66,0.33,64.05
BOLAANG MONGONDOW TIMUR,2017,910.18,70610.0,2422595.92,0.34,64.73
KOTA MANADO,2017,162.53,430133.0,31111634.38,0.39,78.05
KOTA BITUNG,2017,313.51,212409.0,14082679.26,0.38,72.94
KOTA TOMOHON,2017,147.21,103711.0,3593272.53,0.38,75.34
KOTA KOTAMOBAGU,2017,184.33,123872.0,2985959.48,0.41,72.0
BANGGAI KEPULAUAN,2017,2488.79,11575.0,3299736.46,0.34,64.07
BANGGAI,2017,9672.7,93375.0,23843658.69,0.3,69.0
MOROWALI,2017,5472.0,12858.0,17035853.36,0.3,70.41
POSO,2017,7112.25,58486.0,8021441.15,0.3,69.78
DONGGALA,2017,5275.69,35684.0,10765789.17,0.35,64.66
TOLI-TOLI,2017,4079.77,63807.0,7137848.95,0.38,64.05
BUOL,2017,4043.57,31920.0,5146510.12,0.33,66.69
PARIGI MOUTONG,2017,6231.85,57421.0,15802166.15,0.3,64.09
TOJO UNA-UNA,2017,5721.15,24903.0,4989815.19,0.33,62.61
SIGI,2017,5196.02,36186.0,7876671.1,0.33,66.72
BANGGAI LAUT,2017,725.67,7165.0,2006463.48,0.31,64.08
MOROWALI UTARA,2017,10004.28,13464.0,8968534.09,0.34,67.35
KOTA PALU,2017,395.06,360926.0,20416019.12,0.36,80.24
KEPULAUAN SELAYAR,2017,1357.03,132308.0,5223199.38,0.331,65.39
BULUKUMBA,2017,1154.58,414791.0,12068741.55,0.324,67.08
BANTAENG,2017,395.83,185520.0,6942456.0,0.422,67.27
JENEPONTO,2017,749.79,359920.0,8614595.11,0.331,62.67
TAKALAR,2017,566.51,291110.0,8559004.6,0.351,65.48
GOWA,2017,1883.33,742342.0,17192664.1,0.395,68.33
SINJAI,2017,819.96,240856.0,9138199.86,0.376,65.8
MAROS,2017,1619.12,345626.0,19440014.72,0.368,68.42
PANGKAJENE DAN KEPULAUAN,2017,898.29,329272.0,22293955.79,0.368,67.25
BARRU,2017,1174.72,172694.0,5961951.15,0.389,69.56
BONE,2017,4559.0,748711.0,29319723.69,0.386,64.16
SOPPENG,2017,1500.0,227545.0,8876207.02,0.359,66.67
WAJO,2017,2506.19,398081.0,17832106.02,0.353,68.18
SIDENRENG RAPPANG,2017,1102.1,294445.0,11914878.78,0.325,69.84
PINRANG,2017,1961.77,372028.0,16360561.94,0.309,69.9
ENREKANG,2017,1786.01,203573.0,6360506.96,0.374,71.44
LUWU,2017,2909.08,357231.0,13026830.89,0.395,69.02
TANA TORAJA,2017,2054.3,232740.0,6054907.73,0.318,66.82
LUWU UTARA,2017,7502.58,308142.0,10787078.51,0.358,68.35
LUWU TIMUR,2017,6944.88,285011.0,18341283.09,0.411,71.46
TORAJA UTARA,2017,1151.47,229709.0,7720936.47,0.41,67.9
KOTA MAKASAR,2017,175.77,1485941.0,142448701.4,0.396,81.13
KOTA PAREPARE,2017,99.33,141670.0,6092581.33,0.384,76.68
KOTA PALOPO,2017,247.52,175106.0,6514938.67,0.341,76.71
BUTON,2017,1648.04,100440.0,3285243.3,0.394,64.47
MUNA,2017,2057.69,218680.0,5920798.17,0.357,67.61
KONAWE,2017,6087.68,244324.0,7233615.88,0.363,70.24
KOLAKA,2017,3283.59,251520.0,21337133.57,0.3,71.46
KONAWE SELATAN,2017,4237.74,304214.0,10197998.29,0.375,67.23
BOMBANA,2017,3316.16,175497.0,5478862.88,0.348,64.49
WAKATOBI,2017,473.62,95386.0,3629020.78,0.381,67.99
KOLAKA UTARA,2017,3392.0,144681.0,7262120.28,0.322,67.77
BUTON UTARA,2017,1923.03,62088.0,2644755.44,0.394,66.4
KONAWE UTARA,2017,5101.76,60884.0,3263494.79,0.342,67.71
KOLAKA TIMUR,2017,3992.53,128154.0,3795898.57,0.374,64.55
KONAWE KEPULAUAN,2017,867.58,33212.0,1152590.12,0.371,63.44
MUNA BARAT,2017,1022.89,79649.0,2141049.79,0.381,63.43
BUTON TENGAH,2017,958.0,91099.0,1975533.47,0.239,62.82
BUTON SELATAN,2017,510.0,79053.0,2464265.38,0.347,63.2
KOTA KENDARI,2017,271.8,370728.0,18664137.0,0.373,81.83
KOTA BAUBAU,2017,295.07,162780.0,7507917.74,0.442,74.14
BOALEMO,2017,2567.36,158333.0,4534413.48,0.43,64.22
KAB GORONTALO,2017,2124.6,374923.0,10884657.23,0.43,64.95
POHUWATO,2017,4244.31,153991.0,5576607.45,0.43,63.88
BONE BOLANGO,2017,1984.31,157186.0,3850320.91,0.43,68.11
GORONTALO UTARA,2017,1777.02,112975.0,2806611.57,0.43,63.52
KOTA GORONTALO,2017,79.02,210782.0,7096838.22,0.43,76.09
MAJENE,2017,947.84,169072.0,4190428.24,0.393,65.4
POLEWALI MANDAR,2017,2022.3,432692.0,11334564.97,0.305,62.35
MAMASA,2017,3005.88,156973.0,2533788.6,0.402,63.92
MAMUJU,2017,4979.89,279393.0,10027449.74,0.393,66.32
MAMUJU UTARA / PASANGKAYU,2017,3043.75,165230.0,8812815.95,0.299,65.67
MAMUJU TENGAH,2017,3100.87,127601.0,2693678.06,0.308,63.64
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2017,4465.79,111825.0,2291557.11,0.34,61.64
MALUKU TENGGARA,2017,1031.81,99284.0,2753584.7,0.34,64.94
MALUKU TENGAH,2017,7953.81,371479.0,7554920.82,0.34,70.09
BURU,2017,4932.32,135687.0,2066183.13,0.34,67.61
KEPULAUAN ARU,2017,8152.42,93780.0,3035439.97,0.34,62.13
SERAM BAGIAN BARAT,2017,5033.38,170494.0,2620026.73,0.34,64.34
SERAM BAGIAN TIMUR,2017,6429.88,111573.0,2521150.15,0.34,62.06
MALUKU BARAT DAYA,2017,4581.06,72673.0,1404693.12,0.34,60.16
BURU SELATAN,2017,3780.56,61330.0,1206615.92,0.34,62.75
KOTA AMBON,2017,298.61,444797.0,12824347.29,0.34,79.82
KOTA TUAL,2017,254.39,71732.0,2093661.54,0.34,66.25
HALMAHERA BARAT,2017,1704.2,114181.0,1943235.19,0.238,64.19
HALMAHERA TENGAH,2017,2653.76,53075.0,1931454.59,0.291,63.89
KEPULAUAN SULA,2017,3304.32,181738.0,2117993.63,0.265,62.04
HALMAHERA SELATAN,2017,8148.9,228169.0,5138870.9,0.235,62.64
HALMAHERA UTARA,2017,3896.9,187051.0,4960428.65,0.265,66.52
HALMAHERA TIMUR,2017,6571.37,91999.0,2751599.94,0.235,65.77
PULAU MOROTAI,2017,2476.0,64376.0,1318618.37,0.318,60.71
PULAU TALIABU,2017,1469.93,24989.0,1157176.79,0.243,59.03
KOTA TERNATE,2017,111.39,223114.0,8687261.07,0.281,78.48
KOTA TIDORE KEPULAUAN,2017,1645.73,98744.0,2440999.12,0.227,69.25
FAKFAK,2017,14320.0,76102.0,4495038.3,0.37,66.09
KAIMANA,2017,16241.84,56882.0,2366402.14,0.434,62.74
TELUK WONDAMA,2017,3959.53,31072.0,1339523.56,0.438,58.1
TELUK BINTUNI,2017,20840.83,61794.0,25877170.93,0.341,62.39
MANOKWARI,2017,3186.28,166780.0,8380671.2,0.373,70.67
SORONG SELATAN,2017,6594.31,45019.0,1629113.26,0.352,60.19
SORONG,2017,6544.23,84906.0,9433808.46,0.405,63.42
RAJA AMPAT,2017,8034.44,47301.0,2472277.55,0.403,62.35
TAMBRAUW,2017,11529.18,13785.0,193672.86,0.283,51.01
MAYBRAT,2017,5461.69,39191.0,608704.42,0.373,57.23
MANOKWARI SELATAN,2017,2812.44,22983.0,697826.86,0.406,58.08
PEGUNUNGAN ARFAK,2017,2773.74,29731.0,167511.35,0.274,54.39
KOTA SORONG,2017,656.64,239815.0,13821686.53,0.335,76.73
MERAUKE,2017,44071.0,220006.0,12880197.72,0.368,68.64
JAYAWIJAYA,2017,13925.31,210229.0,6802801.85,0.331,55.99
JAYAPURA,2017,11157.15,123780.0,12891148.42,0.281,70.97
NABIRE,2017,11112.61,142795.0,9483997.59,0.383,67.11
KEPULAUAN YAPEN,2017,2050.0,93114.0,3610759.64,0.325,66.07
BIAK NUMFOR,2017,2602.0,141801.0,4991922.71,0.361,71.56
PANIAI,2017,6525.25,167325.0,3529979.29,0.46,54.91
PUNCAK JAYA,2017,5996.94,119779.0,1207060.98,0.214,46.57
MIMIKA,2017,21633.0,205591.0,74227269.06,0.325,72.42
BOVEN DIGOEL,2017,27108.0,64674.0,4264634.0,0.345,60.14
MAPPI,2017,24118.0,93592.0,2428701.71,0.394,57.1
ASMAT,2017,31983.69,90316.0,2038249.15,0.233,48.49
YAHUKIMO,2017,17152.0,184217.0,2049187.57,0.332,47.95
PEGUNUNGAN BINTANG,2017,15683.0,72511.0,1620159.59,0.336,43.24
TOLIKARA,2017,14564.0,133786.0,1346817.43,0.299,47.89
SARMI,2017,17742.0,37511.0,2292218.73,0.4,62.31
KEEROM,2017,8390.0,54130.0,2540848.76,0.358,64.99
WAROPEN,2017,10977.09,28809.0,1762695.91,0.344,64.08
SUPIORI,2017,678.32,18486.0,893200.62,0.252,61.23
MAMBERAMO RAYA,2017,23813.91,21821.0,1333828.01,0.203,50.25
NDUGA,2017,12941.0,95885.0,1019098.32,0.212,27.87
LANNY JAYA,2017,6077.4,174782.0,1530443.55,0.309,46.49
MAMBERAMO TENGAH,2017,3743.64,46696.0,988831.57,0.225,45.5
YALIMO,2017,4330.29,59778.0,1007186.18,0.247,46.19
PUNCAK,2017,8055.0,105521.0,1150191.15,0.177,41.06
DOGIYAI,2017,4237.4,93809.0,1098784.65,0.223,54.04
INTAN JAYA,2017,3922.02,47300.0,1086636.9,0.255,45.68
DEIYAI,2017,537.39,70620.0,1157359.22,0.235,49.07
KOTA JAYAPURA,2017,935.92,288786.0,28117031.35,0.317,79.23
SIMEULUE,2018,1821.75,92393,2042836.42,0.343,64.74
ACEH SINGKIL,2018,1852.82,121681,2255194.44,0.336,68.02
ACEH SELATAN,2018,4175.38,235115,5197229.43,0.312,65.92
ACEH TENGGARA,2018,4179.12,212417,4558765.21,0.295,68.67
ACEH TIMUR,2018,5409.41,427567,9685702.94,0.272,66.82
ACEH TENGAH,2018,4468.42,208505,7178095.4,0.26,72.64
ACEH BARAT,2018,2782.87,205971,7692484.18,0.276,70.47
ACEH BESAR,2018,2891.48,417302,12446122.56,0.306,72.73
PIDIE,2018,3177.49,439131,9894667.92,0.262,69.93
BIREUEN,2018,1796.99,461726,12092521.62,0.305,71.37
ACEH UTARA,2018,2705.26,611435,18815382.43,0.292,68.36
ACEH BARAT DAYA,2018,1882.28,148111,3635010.97,0.286,65.67
GAYO LUES,2018,5541.29,92602,2549886.3,0.315,65.88
ACEH TAMIANG,2018,2187.66,291112,6991449.0,0.328,68.45
NAGAN RAYA,2018,3524.16,164483,6926106.55,0.284,68.15
ACEH JAYA,2018,3872.35,91087,2429231.64,0.264,68.83
BENER MERIAH,2018,1907.4,145086,4202084.4,0.254,72.14
PIDIE JAYA,2018,939.0,158091,3240635.9,0.233,72.12
BANDA ACEH,2018,56.77,265111,17619854.62,0.294,84.37
SABANG,2018,122.06,34571,1397797.45,0.277,74.82
LANGSA,2018,224.24,174318,4873136.18,0.356,76.34
LHOKSEUMAWE,2018,132.97,203284,8456724.3,0.305,76.62
SUBULUSSALAM,2018,1183.6,80215,1622893.4,0.291,63.48
NIAS,2018,902.4,14284,3519073.75,0.265,60.82
MANDAILING NATAL,2018,6547.26,44349,12618052.31,0.257,65.83
TAPANULI SELATAN,2018,4201.04,280283,12882177.87,0.273,69.1
TAPANULI TENGAH,2018,2307.68,370171,9229977.21,0.317,68.27
TAPANULI UTARA,2018,3895.6,299881,7296779.1,0.282,72.91
TOBA SAMOSIR / TOBA,2018,2291.62,182673,7161585.79,0.328,74.48
LABUHAN BATU,2018,2772.38,48648,31302582.6,0.294,71.39
ASAHAN,2018,3737.83,724379,34664912.65,0.291,69.49
SIMALUNGUN,2018,4601.48,863693,35444572.49,0.29,72.49
DAIRI,2018,2083.6,283203,8560775.5,0.265,70.89
KARO,2018,2206.88,409675,19220878.39,0.268,73.91
DELI SERDANG,2018,2581.23,2155625,101060213.4,0.294,74.92
LANGKAT,2018,6140.04,1035411,39867648.98,0.253,70.27
NIAS SELATAN,2018,2531.7,317207,6247306.89,0.33,60.75
HUMBANG HASUNDUTAN,2018,2351.51,18848,5527253.49,0.291,67.96
PAKPAK BHARAT,2018,1365.61,48119,1086960.92,0.239,66.63
SAMOSIR,2018,1850.04,125816,4085202.85,0.285,69.99
SERDANG BEDAGAI,2018,1949.18,614618,25994818.88,0.283,69.69
BATU BARA,2018,888.14,412992,31972004.73,0.249,67.67
PADANG LAWAS UTARA,2018,3945.56,267771,10752123.95,0.299,68.77
PADANG LAWAS,2018,3914.41,275515,10595866.98,0.299,67.59
LABUHAN BATU SELATAN,2018,3079.61,332922,25124039.18,0.243,70.98
LABUHAN BATU UTARA,2018,3686.01,360926,22749934.18,0.282,71.08
NIAS UTARA,2018,1238.06,137002,3250328.75,0.237,61.08
NIAS BARAT,2018,464.22,81663,1673310.72,0.283,60.42
KOTA SIBOLGA,2018,11.47,87317,5063936.84,0.303,72.65
KOTA TANJUNG BALAI,2018,60.07,173302,8175687.25,0.332,68.0
KOTA PEMATANG SIANTAR,2018,75.92,253500,13176710.84,0.334,77.88
KOTA TEBING TINGGI,2018,39.17,162581,5512517.21,0.34,74.5
KOTA MEDAN,2018,279.29,2264145,222483237.4,0.314,80.65
KOTA BINJAI,2018,93.77,273892,10765291.76,0.309,75.21
KOTA PADANGSIDIMPUAN,2018,159.3,218892,5858839.13,0.359,74.38
KOTA GUNUNGSITOLI,2018,208.68,140927,5001030.27,0.361,68.33
KEPULAUAN MENTAWAI,2018,5983.22,90400,4252824.0,0.306,60.28
PESISIR SELATAN,2018,6045.65,460700,13045984.64,0.255,69.4
SOLOK,2018,3590.4,371100,12653858.53,0.303,68.6
SIJUNJUNG,2018,3150.58,233800,8489458.37,0.3,66.97
TANAH DATAR,2018,1377.19,347400,12202819.78,0.288,71.25
PADANG PARIAMAN,2018,1342.27,413300,20438318.45,0.296,69.71
AGAM,2018,2226.27,487900,19145918.5,0.257,71.7
LIMA PULUH KOTA,2018,3273.41,379500,14525483.21,0.283,69.17
PASAMAN,2018,3902.44,278500,8318765.11,0.266,65.6
SOLOK SELATAN,2018,3282.14,168400,5214850.48,0.309,68.45
DHARMASRAYA,2018,2920.93,241600,9697640.71,0.264,70.86
PASAMAN BARAT,2018,3852.99,435600,14603178.2,0.29,67.43
KOTA PADANG,2018,694.38,939100,57506842.01,0.344,82.25
KOTA SOLOK,2018,58.72,69800,3728256.36,0.296,77.89
KOTA SAWAH LUNTO,2018,231.95,61900,3404518.84,0.31,71.72
KOTA PADANG PANJANG,2018,23.56,53000,3198031.98,0.29,77.3
KOTA BUKITTINGGI,2018,24.17,128800,8011062.02,0.337,80.11
KOTA PAYAKUMBUH,2018,74.55,133700,6134700.3,0.302,78.23
KOTA PARIAMAN,2018,64.77,87600,4615745.62,0.316,76.26
KUANTAN SINGINGI,2018,5457.86,324413,30463627.94,321.0,69.96
INDRAGIRI HULU,2018,7871.85,433934,40386220.27,315.0,69.66
INDRAGIRI HILIR,2018,13521.26,731396,60180013.34,311.0,66.51
PELALAWAN,2018,13262.11,46078,46073490.3,283.0,71.44
SIAK,2018,7805.54,47767,84262911.87,300.0,73.73
KAMPAR,2018,10352.8,851837,77152929.69,293.0,72.5
ROKAN HULU,2018,7658.15,66641,32290185.17,298.0,69.36
BENGKALIS,2018,8616.36,566228,148603299.8,272.0,72.94
ROKAN HILIR,2018,9068.46,697218,78620928.77,323.0,68.73
KEPULAUAN MERANTI,2018,3623.56,184372,18163640.55,245.0,65.23
KOTA PEKANBARU,2018,638.33,1117359,108571373.0,351.0,80.66
KOTA DUMAI,2018,2059.61,303292,33076213.76,339.0,74.06
KERINCI,2018,3445.2,237800,9408036.38,320.0,70.59
MERANGIN,2018,7540.12,383500,14452747.43,0.35,68.81
SAROLANGUN,2018,5935.89,296000,14502492.18,0.29,69.41
BATANG HARI,2018,5387.52,270000,15663916.87,0.3,69.33
MUARO JAMBI,2018,5225.8,432300,22960990.21,0.31,68.34
TANJUNG JABUNG TIMUR,2018,4546.62,218400,24111743.94,0.29,63.32
TANJUNG JABUNG BARAT,2018,5546.06,328300,41458277.05,0.36,67.13
TEBO,2018,6103.74,348800,13839068.46,0.31,68.67
BUNGO,2018,4760.83,367200,17303257.12,0.32,69.42
KOTA JAMBI,2018,169.89,598100,28797406.24,0.33,77.41
KOTA SUNGAI PENUH,2018,364.92,89900,6951102.4,0.3,74.67
OGAN KOMERING ULU,2018,3774.5,36426,13383129.98,0.308,69.01
OGAN KOMERING ILIR,2018,17071.33,821528,26839366.84,0.33,66.57
MUARA ENIM,2018,6763.91,628661,52695301.68,0.354,68.28
LAHAT,2018,4333.07,405605,15984334.26,0.306,66.99
MUSI RAWAS,2018,6122.59,400239,17495006.76,0.273,66.18
MUSI BANYUASIN,2018,14550.79,640065,60861458.42,0.326,67.57
BANYU ASIN,2018,12262.76,846269,26542714.39,0.344,66.4
OGAN KOMERING ULU SELATAN,2018,4369.25,358510,8136433.71,0.317,64.84
OGAN KOMERING ULU TIMUR,2018,3412.72,670653,13727122.43,0.336,68.58
OGAN ILIR,2018,2302.86,424774,10315106.26,0.317,66.43
EMPAT LAWANG,2018,2234.1,247544,4695136.07,0.331,64.81
PENUKAL ABAB LEMATANG ILIR,2018,1842.56,187554,6493087.88,0.298,63.49
MUSI RAWAS UTARA,2018,5937.8,190222,6751112.19,0.276,63.75
KOTA PALEMBANG,2018,352.51,1651857,141908624.7,0.383,77.89
KOTA PRABUMULIH,2018,447.31,185895,7169125.12,0.414,74.04
KOTA PAGAR ALAM,2018,625.91,137964,2673294.03,0.301,67.62
KOTA LUBUKLINGGAU,2018,367.73,229889,6135202.03,0.324,74.09
BENGKULU SELATAN,2018,1219.22,167997,5302895.82,0.36,69.85
REJANG LEBONG,2018,1559.42,278865,8685050.7,0.33,69.4
BENGKULU UTARA,2018,4481.99,284505,7609325.45,0.35,68.36
KAUR,2018,2608.56,129843,3239535.5,0.31,66.2
SELUMA,2018,2432.16,211619,4215214.35,0.31,65.99
MUKOMUKO,2018,4138.68,180951,4744397.67,0.32,67.47
LEBONG,2018,1666.62,112900,3092456.97,0.29,66.28
KEPAHIANG,2018,738.97,151019,3981493.92,0.3,67.14
BENGKULU TENGAH,2018,1132.38,113056,4253687.13,0.29,66.65
KOTA BENGKULU,2018,150.35,368784,21223089.15,0.39,79.67
LAMPUNG BARAT,2018,2107.99,300703,6590613.92,0.314,66.74
TANGGAMUS,2018,2947.59,592603,14514451.95,0.289,65.67
LAMPUNG SELATAN,2018,2227.38,1002285,41586070.38,0.353,67.68
LAMPUNG TIMUR,2018,3860.92,1036193,39350063.3,0.346,69.04
LAMPUNG TENGAH,2018,4559.57,1271566,66094623.15,0.315,69.73
LAMPUNG UTARA,2018,2669.3,614701,22137786.99,0.311,67.17
WAY KANAN,2018,3522.11,446113,13055240.53,0.307,66.63
TULANGBAWANG,2018,3116.06,445797,21481669.86,0.352,67.7
PESAWARAN,2018,1288.08,440192,15099607.1,0.316,64.97
PRINGSEWU,2018,617.19,397219,10389147.21,0.318,69.42
MESUJI,2018,2200.41,199168,9691343.34,0.29,62.88
TULANG BAWANG BARAT,2018,1257.09,271206,10654951.42,0.316,65.3
PESISIR BARAT,2018,2939.6,153743,4282378.16,0.335,62.96
KOTA BANDAR LAMPUNG,2018,183.75,1033803,54609162.61,0.342,76.63
KOTA METRO,2018,73.21,165193,5892670.42,0.334,76.22
BANGKA,2018,3016.85,330793,13310565.01,0.281,71.8
BELITUNG,2018,2270.71,186155,9314624.93,0.281,71.7
BANGKA BARAT,2018,2851.41,209011,13817298.69,0.281,68.68
BANGKA TENGAH,2018,2259.98,192429,8213317.39,0.281,69.52
BANGKA SELATAN,2018,3598.24,205901,8457248.45,0.281,65.98
BELITUNG TIMUR,2018,2588.4,127064,7405859.48,0.281,70.22
KOTA PANGKAL PINANG,2018,104.54,208520,12955301.61,0.281,77.43
KARIMUN,2018,930.45,237265,12628782.5,0.35,70.56
BINTAN,2018,1317.15,159375,19597810.41,0.325,73.41
NATUNA,2018,1999.16,77967,21123646.47,0.326,72.1
LINGGA,2018,2210.82,88433,3969325.56,0.289,64.06
KEPULAUAN ANAMBAS,2018,627.03,45146,16849268.26,0.286,67.53
KOTA BATAM,2018,1034.73,1482768,151285143.5,0.314,80.54
KOTA TANJUNG PINANG,2018,150.37,220142,19078150.15,0.32,78.33
KEP SERIBU,2018,10.18,24134,8179772.89,0.235,70.91
KOTA JAKARTA SELATAN,2018,154.32,2246137,586117970.8,0.422,84.44
KOTA JAKARTA TIMUR,2018,182.7,2916018,453144264.8,0.399,82.06
KOTA JAKARTA PUSAT,2018,52.38,924686,638825987.8,0.339,81.01
KOTA JAKARTA BARAT,2018,124.44,2559362,431470351.6,0.353,80.88
KOTA JAKARTA UTARA,2018,139.99,1797292,488514493.1,0.413,79.87
BOGOR,2018,2710.62,5840907,219239943.2,0.416,69.69
SUKABUMI,2018,4145.7,2460693,61614784.05,0.329,66.05
CIANJUR,2018,3840.16,2260620,42971245.4,0.37,64.62
BANDUNG,2018,1767.96,3717291,112982080.9,0.418,71.75
GARUT,2018,3074.07,2606399,53036446.7,0.371,65.42
TASIKMALAYA,2018,2551.19,1751295,34023587.07,0.353,65.0
CIAMIS,2018,1414.71,1188629,29090461.84,0.309,69.63
KUNINGAN,2018,1110.56,1074497,22764226.08,0.397,68.55
CIREBON,2018,984.52,2176213,45499277.03,0.364,68.05
MAJALENGKA,2018,1204.24,1199300,28098356.43,0.365,66.72
SUMEDANG,2018,1518.33,1149906,32533267.44,0.42,70.99
INDRAMAYU,2018,2040.11,1719187,74920424.4,0.316,66.36
SUBANG,2018,1893.95,1579018,37520083.22,0.334,68.31
PURWAKARTA,2018,825.74,953414,63116672.12,0.397,69.98
KARAWANG,2018,1652.2,2336009,215547356.2,0.331,69.89
BEKASI,2018,1224.88,3630907,305559640.0,0.356,73.49
BANDUNG BARAT,2018,1305.77,1683711,43807707.4,0.394,67.46
PANGANDARAN,2018,1010.0,397187,10352224.38,0.303,67.44
KOTA BOGOR,2018,118.5,1096828,42261020.74,0.389,75.66
KOTA SUKABUMI,2018,48.25,326282,11472892.73,0.41,73.55
KOTA BANDUNG,2018,167.67,2503708,264393083.6,0.423,81.06
KOTA CIREBON,2018,37.36,316277,21639256.31,0.432,74.35
KOTA BEKASI,2018,206.61,2931897,90980622.26,0.336,81.04
KOTA DEPOK,2018,200.29,2330333,64363243.6,0.365,80.29
KOTA CIMAHI,2018,39.27,607811,29240033.01,0.364,77.56
KOTA TASIKMALAYA,2018,171.61,662723,19977556.15,0.39,72.03
KOTA BANJAR,2018,113.49,182819,4106618.59,0.322,71.25
CILACAP,2018,2124.47,1719504,109699658.8,0.378,69.56
BANYUMAS,2018,1335.3,1679124,49896126.75,0.378,71.3
PURBALINGGA,2018,677.55,925193,23190328.56,0.378,68.41
BANJARNEGARA,2018,1023.73,918219,20069802.33,0.378,66.54
KEBUMEN,2018,1211.74,1195092,26037016.66,0.378,68.8
PURWOREJO,2018,1091.49,716477,17407507.43,0.378,71.87
WONOSOBO,2018,981.41,787384,17493244.85,0.378,67.81
MAGELANG,2018,1102.93,1279625,30339465.47,0.378,69.11
BOYOLALI,2018,1008.45,979799,30258836.39,0.378,73.22
KLATEN,2018,658.22,1171411,36993970.46,0.378,74.79
SUKOHARJO,2018,489.12,885205,34211246.04,0.378,76.07
WONOGIRI,2018,1793.67,957106,27136616.42,0.378,69.37
KARANGANYAR,2018,775.44,879078,34324380.71,0.378,75.54
SRAGEN,2018,941.54,887889,35100061.65,0.378,72.96
GROBOGAN,2018,2013.86,1371610,25407053.22,0.378,69.32
BLORA,2018,1821.59,862110,24631543.5,0.378,67.95
REMBANG,2018,887.13,633584,17690102.92,0.378,69.46
PATI,2018,1489.19,1253299,39901328.44,0.378,70.71
KUDUS,2018,425.15,861430,104056376.2,0.378,74.58
JEPARA,2018,1059.25,1240600,27996907.49,0.378,71.38
DEMAK,2018,900.12,1151796,24429141.74,0.378,71.26
SEMARANG,2018,950.21,1040629,46188055.96,0.378,73.61
TEMANGGUNG,2018,837.71,765594,20229292.56,0.378,68.83
KENDAL,2018,1118.13,964106,39548993.26,0.378,71.28
BATANG,2018,788.65,762377,20180576.47,0.378,67.86
PEKALONGAN,2018,837.0,891892,21314311.91,0.378,68.97
PEMALANG,2018,1118.03,1299724,23670900.26,0.378,65.67
TEGAL,2018,876.1,1437225,32770354.5,0.378,67.33
BREBES,2018,1902.37,1802829,42973395.36,0.378,65.68
KOTA MAGELANG,2018,16.06,121872,8201328.71,0.378,78.31
KOTA SURAKARTA,2018,46.01,517887,44429816.95,0.378,81.46
KOTA SALATIGA,2018,57.36,191571,12339179.98,0.378,82.41
KOTA SEMARANG,2018,373.78,1786114,175223201.3,0.378,82.72
KOTA PEKALONGAN,2018,45.25,304477,10089284.87,0.378,74.24
KOTA TEGAL,2018,39.68,249003,14104486.26,0.378,74.44
KULON PROGO,2018,586.27,426767,10312524.4,0.365,73.76
BANTUL,2018,506.86,1009171,24450119.35,0.448,79.45
GUNUNG KIDUL,2018,1485.36,740 181	,17527715.77,0.337,69.24
SLEMAN,2018,574.82,1 214 346	,43779043.69,0.425,83.42
KOTA YOGYAKARTA,2018,32.5,427 801	,33787580.59,0.42,86.11
PACITAN,2018,1389.92,554394,14968406.92,0.35,67.33
PONOROGO,2018,1305.7,870705,19174225.22,0.35,69.91
TRENGGALEK,2018,1147.22,694902,17354536.72,0.39,68.71
TULUNGAGUNG,2018,1055.65,1035290,36496034.11,0.37,71.99
BLITAR,2018,1336.48,1157500,34117382.48,0.38,69.93
KEDIRI,2018,1386.05,1568113,38588231.96,0.33,71.07
MALANG,2018,3530.65,2591795,96827576.78,0.38,69.4
LUMAJANG,2018,1790.9,1039794,30690435.08,0.32,64.83
JEMBER,2018,3092.34,2440714,72012095.82,0.34,65.96
BANYUWANGI,2018,3593.06,1609677,77842238.51,0.31,70.06
BONDOWOSO,2018,1525.97,772297,18494809.78,0.35,65.27
SITUBONDO,2018,1669.87,679993,18857949.19,0.36,66.42
PROBOLINGGO,2018,1696.21,1162092,32012209.36,0.34,64.85
PASURUAN,2018,1474.02,1616578,135865997.3,0.32,67.41
SIDOARJO,2018,634.38,2216804,189256005.5,0.35,79.5
MOJOKERTO,2018,717.83,1108718,76678340.3,0.31,72.64
JOMBANG,2018,1115.09,1258618,37880234.58,0.32,71.86
NGANJUK,2018,1224.25,1051900,24782292.72,0.31,71.23
MADIUN,2018,1037.58,681394,17636096.67,0.33,71.01
MAGETAN,2018,688.84,628924,17623924.55,0.38,72.91
NGAWI,2018,1295.98,830090,19140125.79,0.35,69.91
BOJONEGORO,2018,2198.79,1246927,73228592.69,0.35,67.85
TUBAN,2018,1834.15,1168277,60739045.79,0.36,67.43
LAMONGAN,2018,1782.05,1188913,37224236.78,0.31,71.97
GRESIK,2018,1191.25,1299024,130229387.3,0.27,75.28
BANGKALAN,2018,1001.44,978892,23846656.1,0.29,62.87
SAMPANG,2018,1233.08,968520,19105375.54,0.26,61.0
PAMEKASAN,2018,792.24,871497,15912846.04,0.33,65.41
SUMENEP,2018,1998.54,1085227,32703554.24,0.25,65.25
