Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
KOTA PEKANBARU,2017,638.33,1091088.0,101113420.0,0.325,79.97
KOTA DUMAI,2017,2059.61,297638.0,30342836.58,0.325,73.46
KERINCI,2017,3445.2,236782.0,8875707.51,0.28,70.03
MERANGIN,2017,7540.12,377905.0,13518638.5,0.3,68.3
SAROLANGUN,2017,5935.89,290231.0,13451752.83,0.36,69.03
BATANG HARI,2017,5387.52,266971.0,14695344.69,0.25,68.92
MUARO JAMBI,2017,5225.8,421179.0,21334800.47,320.0,67.86
TANJUNG JABUNG TIMUR,2017,4546.62,216777.0,21044142.88,0.28,62.61
TANJUNG JABUNG BARAT,2017,5546.06,322527.0,35670940.16,0.29,66.15
TEBO,2017,6103.74,343003.0,12981953.63,0.27,68.16
BUNGO,2017,4760.83,359590.0,16022888.06,0.34,69.04
KOTA JAMBI,2017,169.89,591134.0,26293309.98,0.39,76.74
KOTA SUNGAI PENUH,2017,364.92,88918.0,6371292.65,0.32,73.75
OGAN KOMERING ULU,2017,3774.5,359092.0,12373945.6,0.329,68.28
OGAN KOMERING ILIR,2017,17071.33,809203.0,25096493.5,0.337,66.11
MUARA ENIM,2017,6763.91,618762.0,45782758.92,0.376,67.63
LAHAT,2017,4333.07,401494.0,15035348.18,0.356,66.38
MUSI RAWAS,2017,6122.59,394384.0,15877312.25,0.28,65.31
MUSI BANYUASIN,2017,14550.79,629791.0,56020033.18,0.266,66.96
BANYU ASIN,2017,12262.76,833625.0,24501190.27,0.316,65.85
OGAN KOMERING ULU SELATAN,2017,4369.25,352926.0,7592138.1,0.395,63.96
OGAN KOMERING ULU TIMUR,2017,3412.72,663481.0,12823900.21,0.285,67.84
OGAN ILIR,2017,2302.86,419773.0,9514376.07,0.345,65.63
EMPAT LAWANG,2017,2234.1,244312.0,4407371.57,0.317,64.21
PENUKAL ABAB LEMATANG ILIR,2017,1842.56,184671.0,5845939.29,0.352,62.58
MUSI RAWAS UTARA,2017,5937.8,187635.0,6393132.2,0.276,63.18
KOTA PALEMBANG,2017,352.51,1623099.0,129400326.1,0.373,77.22
KOTA PRABUMULIH,2017,447.31,182128.0,6586289.06,0.399,73.58
KOTA PAGAR ALAM,2017,625.91,136605.0,2548519.71,0.366,66.81
KOTA LUBUKLINGGAU,2017,367.73,226002.0,5636432.14,0.378,73.67
BENGKULU SELATAN,2017,1219.22,165724.0,4872689.59,0.37,69.04
REJANG LEBONG,2017,1559.42,276875.0,7946952.77,0.32,68.61
BENGKULU UTARA,2017,4481.99,280893.0,6977776.77,0.31,67.8
KAUR,2017,2608.56,127528.0,2967017.65,0.32,65.28
SELUMA,2017,2432.16,209257.0,3840069.99,0.33,65.0
MUKOMUKO,2017,4138.68,176185.0,4335451.57,0.31,67.07
LEBONG,2017,1666.62,113961.0,2859948.65,0.3,65.87
KEPAHIANG,2017,738.97,148795.0,3637168.66,0.33,66.6
BENGKULU TENGAH,2017,1132.38,110162.0,3902668.69,0.28,65.8
KOTA BENGKULU,2017,150.35,366435.0,19277488.21,0.37,78.82
LAMPUNG BARAT,2017,2107.99,298286.0,6116299.64,0.291,66.06
TANGGAMUS,2017,2947.59,586624.0,13414930.28,0.305,64.94
LAMPUNG SELATAN,2017,2227.38,992763.0,38322378.83,0.3,66.95
LAMPUNG TIMUR,2017,3860.92,1027476.0,36143304.94,0.295,68.05
LAMPUNG TENGAH,2017,4559.57,1261498.0,60955292.63,0.308,68.95
LAMPUNG UTARA,2017,2669.3,612100.0,20532899.6,0.309,66.58
WAY KANAN,2017,3522.11,441922.0,12108683.35,0.306,65.97
