Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton),Land Area (km2),Population,GDP,Gini,HDI,highest_restriction,start_date
2019,Aceh,ACEH SELATAN,17.468853000000003,6375.918288,4175.38,238081,5479425.66,0.273,66.9,None,2019
2019,Aceh,ACEH TENGAH,25.2425,9213.435,4468.42,212494,7472445.9,0.256,73.14,None,2019
2019,Aceh,SIMEULUE,15.4959,5655.55935,1821.75,93228,2211885.58,0.34,65.7,None,2019
2019,Aceh,GAYO LUES,6.3988000000000005,2335.5620000000004,5541.29,94100,2608733.7,0.29,66.87,None,2019
2019,Aceh,BENER MERIAH,11.816469,4312.69251,1907.4,148175,4423114.94,0.267,72.97,None,2019
2019,Aceh,KOTA BANDA ACEH,16.224800000000002,5922.049280000001,56.77,270321,18569075.19,0.289,85.07,Fee,2020
2019,Aceh,KOTA SABANG,3.935181,1436.133471,122.06,34874,1531587.09,0.281,75.77,None,2019
2019,Aceh,KOTA LANGSA,6.6206000000000005,2416.5827000000004,224.24,176811,5236223.62,0.363,77.16,None,2019
2020,Aceh,ACEH TIMUR,14.976,5466.107400000001,5409.41,422401.0,10605784.63,0.282,67.63,Fee,2020
2020,Aceh,ACEH TENGAH,26.403,9637.459,4468.42,215576.0,7387369.9,0.331,73.24,Fee,2020
2020,Aceh,SIMEULUE,15.560414999999995,5680.033829999999,1821.75,92865.0,2274361.94,0.296,66.03,Fee,2020
2020,Aceh,ACEH JAYA,9.057645333333337,3305.827033833333,3872.35,93159.0,2625734.25,0.252,69.75,Fee,2020
2020,Aceh,BENER MERIAH,9.6975,3539.631,1907.4,161342.0,4527816.08,0.259,72.98,Fee,2020
2020,Aceh,KOTA BANDA ACEH,16.54372,6038.40816,56.77,252899.0,18501628.13,0.303,85.41,Ban,2020
2020,Aceh,KOTA SABANG,5.1654435,1885.3418243333333,122.06,41197.0,1531407.09,0.271,75.78,Fee,2020
2020,Aceh,KOTA LANGSA,7.6136,2779.0224,224.24,185971.0,5274021.46,0.356,77.17,Fee,2020
2021,Aceh,GAYO LUES,6.873100000000001,2508.7308000000003,5541.29,101102.0,2854808.79,0.264,67.56,Fee,2020
2021,Aceh,KOTA BANDA ACEH,41.27922,15067.13276,56.77,255029.0,19943395.17,0.347,85.71,Ban,2020
2021,Aceh,KOTA SABANG,3.80358,1388.0106400000002,122.06,42066.0,1596295.22,0.293,76.11,Fee,2020
2021,Aceh,KOTA LANGSA,9.283,3388.3320000000003,224.24,188878.0,5748993.79,0.34,77.44,Fee,2020
2021,Aceh,KOTA SUBULUSSALAM,6.7935,2479.3815,1183.6,92671.0,2102899.14,0.303,65.27,Fee,2020
2022,Aceh,ACEH SELATAN,20.32136158823529,7417.05057082353,4175.38,237376.0,6426567.77,0.257,67.87,Fee,2020
2022,Aceh,ACEH TENGGARA,16.4376,5999.9346,4179.12,228308.0,5813672.27,0.274,70.32,Fee,2020
2022,Aceh,ACEH TIMUR,45.0164,16430.947,5409.41,432849.0,13008657.84,0.283,68.72,Fee,2020
2022,Aceh,ACEH BARAT,18.46026,6737.92938,2782.87,202858.0,13346482.82,0.265,72.34,Fee,2020
2022,Aceh,PIDIE,63.47460000000001,23168.489610000004,3177.49,444505.0,12375223.06,0.223,71.2,Fee,2020
2022,Aceh,SIMEULUE,15.939152999999996,5817.161996999999,1821.75,94876.0,2650278.35,0.279,67.27,Fee,2020
2022,Aceh,ACEH SINGKIL,11.6094,4237.4948,1852.82,130787.0,2984474.56,0.296,69.62,Fee,2020
2022,Aceh,ACEH BARAT DAYA,9.3204,3401.7708,1882.28,155046.0,4534355.7,0.24,67.41,Fee,2020
2022,Aceh,GAYO LUES,10.265,3746.505,5541.29,103131.0,3067003.46,0.254,68.25,Fee,2020
2022,Aceh,ACEH JAYA,6.609400000000001,2412.3806000000004,3872.35,96028.0,3116831.18,0.299,70.36,Fee,2020
2022,Aceh,NAGAN RAYA,13.872,5063.076000000001,3524.16,173393.0,11322456.81,0.236,70.1,Fee,2020
2022,Aceh,ACEH TAMIANG,36.216,13218.84,2187.66,301492.0,10329951.5,0.305,70.43,Fee,2020
2022,Aceh,BENER MERIAH,11.878199999999998,4335.2532,1907.4,16869.0,5446973.0,0.257,73.9,Fee,2020
2022,Aceh,PIDIE JAYA,20.6778,7547.6544,939.0,162771.0,3968178.81,0.231,74.34,Fee,2020
2022,Aceh,KOTA BANDA ACEH,12.10608,4418.68224,56.77,257635.0,21556951.29,0.391,86.28,Ban,2020
2022,Aceh,KOTA SABANG,3.90528,1425.69162,122.06,43208.0,1637267.99,0.298,76.85,Fee,2020
2022,Aceh,KOTA LANGSA,11.3328,4136.4288,224.24,19263.0,6246284.71,0.368,77.82,Fee,2020
2022,Aceh,KOTA SUBULUSSALAM,6.6726,2435.3946,1183.6,95199.0,2329706.99,0.33,66.2,Fee,2020
2019,Bali,JEMBRANA,36.18212,13206.39424,849.13,278100,14136696.15,0.29,72.35,Ban,2019
2019,Bali,BADUNG,38.709503600000005,14128.8786712,398.75,670200,62836113.71,0.324,81.59,Ban,2018
