Province/Regency/City,2016,2017,2018,2019,2020,2021,2022,2023
RIAU,71.2,71.79,72.44,73,72.71,72.94,73.52,74.04
Kuantan Singingi,68.66,69.53,69.96,70.78,70.31,70.6,71.09,71.67
Indragiri Hulu,68.67,68.97,69.66,70.05,69.83,70.01,70.46,71.04
Indragiri Hilir,65.35,66.17,66.51,66.84,66.54,66.63,67.37,67.98
Pelalawan,70.21,70.59,71.44,71.85,71.56,72.08,72.93,73.59
Siak,72.7,73.18,73.73,74.07,73.68,73.98,74.5,74.98
Kampar,71.39,72.19,72.5,73.15,72.83,73.02,73.84,74.24
Rokan Hulu,67.86,68.67,69.36,69.93,69.38,69.67,70.31,71.02
Bengkalis,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97
Rokan Hilir,67.52,67.84,68.73,69.4,69.15,69.34,70.1,70.78
Kepulauan Meranti,63.9,64.7,65.23,65.93,65.5,65.7,66.52,67.28
Kota Pekanbaru,79.69,79.97,80.66,81.35,81.32,81.58,82.06,82.38
Kota Dumai,72.96,73.46,74.06,74.64,74.4,74.75,75.26,75.66
JAMBI,69.62,69.99,70.65,71.26,71.29,71.63,72.14,72.77
Kerinci,69.68,70.03,70.59,70.95,71.21,71.45,71.99,72.54
Merangin,67.86,68.3,68.81,69.07,69.19,69.53,69.98,70.81
Sarolangun,68.73,69.03,69.41,69.72,69.86,70.25,70.89,71.29
Batang Hari,68.7,68.92,69.33,69.67,69.84,70.11,70.51,71.02
Muaro Jambi,67.55,67.86,68.34,69.01,69.18,69.55,70.18,71.04
Tanjung Jabung Timur,61.88,62.61,63.32,63.92,64.43,64.91,65.77,66.65
Tanjung Jabung Barat,65.91,66.15,67.13,67.54,67.54,68.16,68.79,69.35
Tebo,68.05,68.16,68.67,69.02,69.14,69.35,69.78,70.63
Bungo,68.77,69.04,69.42,69.86,69.92,70.15,70.55,71.06
Kota Jambi,76.14,76.74,77.41,78.26,78.37,79.12,79.58,80.15
Kota Sungai Penuh,73.35,73.75,74.67,75.36,75.42,75.7,76.17,76.65
SUMATERA SELATAN,68.24,68.86,69.39,70.02,70.01,70.24,70.9,71.62
Ogan Komering Ulu,67.47,68.28,69.01,69.45,69.32,69.6,70.24,71.01
Ogan Komering Ilir,65.44,66.11,66.57,66.96,66.82,67.17,68.02,68.65
Muara Enim,66.71,67.63,68.28,68.88,68.74,68.86,69.43,70.24
Lahat,65.75,66.38,66.99,67.62,67.44,67.58,68.4,69.1
Musi Rawas,64.75,65.31,66.18,66.92,66.79,67.01,67.78,68.26
Musi Banyuasin,66.45,66.96,67.57,67.83,67.69,68.1,68.6,69.17
Banyu Asin,65.01,65.85,66.4,66.9,66.74,67.13,67.93,68.65
Ogan Komering Ulu Selatan,63.42,63.96,64.84,65.43,65.3,65.34,65.87,66.67
Ogan Komering Ulu Timur,67.38,67.84,68.58,69.34,69.28,69.58,70.23,70.96
Ogan Ilir,65.45,65.63,66.43,67.22,67.06,67.17,67.96,68.76
Empat Lawang,64,64.21,64.81,65.1,65.25,65.39,66,66.68
Penukal Abab Lematang Ilir,61.66,62.58,63.49,64.33,64.7,64.88,65.75,66.64
Musi Rawas Utara,63.05,63.18,63.75,64.32,64.49,64.93,65.74,66.6
Kota Palembang,76.59,77.22,77.89,78.44,78.33,78.72,79.47,80.02
Kota Prabumulih,73.38,73.58,74.04,74.4,74.55,74.67,75.52,76.46
Kota Pagar Alam,65.96,66.81,67.62,68.44,68.31,68.68,69.6,70.45
Kota Lubuklinggau,73.57,73.67,74.09,74.81,74.78,74.89,75.53,76.19
BENGKULU,69.33,69.95,70.64,71.21,71.4,71.64,72.16,72.78
Bengkulu Selatan,68.71,69.04,69.85,70.27,70.63,70.75,71.42,71.91
Rejang Lebong,68.34,68.61,69.4,70.1,70.44,70.77,71.45,72.31
Bengkulu Utara,67.63,67.8,68.36,68.8,68.82,69.28,69.77,70.28
Kaur,64.95,65.28,66.2,66.78,66.99,67.17,67.77,68.38
Seluma,64.04,65,65.99,66.69,66.89,67.03,67.76,68.27
Mukomuko,66.52,67.07,67.47,68.12,68.45,68.64,69.12,69.97
Lebong,65.58,65.87,66.28,66.84,67.01,67.46,68.12,68.71
Kepahiang,66.35,66.6,67.14,67.67,68.17,68.62,69.09,69.6
Bengkulu Tengah,65.44,65.8,66.65,67.3,67.61,67.96,68.47,68.99
Kota Bengkulu,77.94,78.82,79.67,80.35,80.36,80.54,80.99,81.45
