Province/Regency/City,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,,,,,,,,
Kota Balikpapan,661773,671884,681718,688318,695287,703611,,,,,,,,
Kota Samarinda,845179,859841,874560,827994,831460,834824,,,,,,,,
Kota Bontang,156661,159961,163189,178917,180843,183161,,,,,,,,
KALIMANTAN UTARA,691058,679209,754677,701800,713600,727755,,,,,,,,
Malinau,83788,85241,85241,82500,83800,85316,,,,,,,,
Bulungan,135770,139257,139257,151800,154500,157593,,,,,,,,
Tana Tidung,25084,28971,28971,25600,26400,27571,,,,,,,,
Nunukan,193390,207629,207629,199100,203200,208303,,,,,,,,
Kota Tarakan,253026,262086,270864,242800,245700,248972,,,,,,,,
SULAWESI UTARA,2461028,2484392,2506981,2621923,2638631,2659543,,,,,,,,
Bolaang Mongondow,240505,244185,247811,248751,250478,252648,,,,,,,,
Minahasa,335321,338364,341176,347290,348673,350317,,,,,,,,
Kepulauan Sangihe,130493,130833,131163,139262,139684,140165,,,,,,,,
Kepulauan Talaud,90678,91599,92475,94521,94983,95545,,,,,,,,
Minahasa Selatan,208013,209501,210695,236463,238746,241680,,,,,,,,
Minahasa Utara,200985,202317,203624,224993,226915,229368,,,,,,,,
Bolaang Mongondow Utara,78437,79366,80313,83112,83743,84543,,,,,,,,
Siau Tagulandang Biaro,65976,66225,66403,71817,72135,72517,,,,,,,,
Minahasa Tenggara,105714,106303,106899,116323,117079,118023,,,,,,,,
Bolaang Mongondow Selatan,64171,65127,66071,69791,70529,71481,,,,,,,,
Bolaang Mongondow Timur,70610,71477,72408,88241,89981,92299,,,,,,,,
Kota Manado,430133,431880,433635,451916,453182,454606,,,,,,,,
Kota Bitung,212409,215711,219004,225134,227177,229795,,,,,,,,
Kota Tomohon,103711,105306,106917,100587,100853,101151,,,,,,,,
Kota Kotamobagu,123872,126198,128387,123722,124473,125405,,,,,,,,
SULAWESI TENGAH,807770,3010440,3054020,2985734,3021880,3066143,,,,,,,,
Banggai Kepulauan,11575,117600,118400,120142,121680,123576,,,,,,,,
Banggai,93375,371300,376810,362275,366220,370971,,,,,,,,
Morowali,12858,119300,121300,161727,167910,176244,,,,,,,,
Poso,58486,251200,256390,244875,248350,252650,,,,,,,,
Donggala,35684,301600,304110,300436,302970,305890,,,,,,,,
Toli-Toli,63807,233400,235800,225154,226800,228641,,,,,,,,
Buol,31920,158800,162180,145254,146630,148246,,,,,,,,
Parigi Moutong,57421,482800,490920,440015,443170,446712,,,,,,,,
Tojo Una-Una,24903,152500,153990,163829,166340,169478,,,,,,,,
Sigi,36186,237000,239420,257585,261680,266812,,,,,,,,
Banggai Laut,7165,73700,75000,70435,70870,71345,,,,,,,,
Morowali Utara,13464,125600,128320,120789,122240,124006,,,,,,,,
Kota Palu,360926,385600,391380,373218,377030,381572,,,,,,,,
SULAWESI SELATAN,8674372,8748052,8819549,9073509,9139531,9225747,,,,,,,,
Kepulauan Selayar,132308,133315,134286,137071,137974,139145,,,,,,,,
Bulukumba,414791,416773,418627,437607,440090,443292,,,,,,,,
Bantaeng,185520,186525,187472,196716,197886,199399,,,,,,,,
Jeneponto,359920,361892,363755,401610,405508,410639,,,,,,,,
Takalar,291110,293136,295078,300853,302695,305077,,,,,,,,
Gowa,742342,751981,761491,765836,773315,783167,,,,,,,,
Sinjai,240856,242127,243323,259478,261366,263827,,,,,,,,
Maros,345626,348682,351649,391774,396924,403774,,,,,,,,
Pangkajene dan Kepulauan,329272,331979,334597,345775,348230,351426,,,,,,,,
Barru,172694,173357,173965,184452,185525,186910,,,,,,,,
Bone,748711,751323,753694,801775,806750,813188,,,,,,,,
Soppeng,227545,228153,228686,235167,235574,236049,,,,,,,,
Wajo,398081,400262,402323,379079,379396,379706,,,,,,,,
Sidenreng Rappang,294445,296684,298842,319990,323194,327416,,,,,,,,
Pinrang,372028,374460,376784,403994,407371,411795,,,,,,,,
Enrekang,203573,205254,206881,225172,227520,230622,,,,,,,,
Luwu,357231,360537,363754,365608,367454,369820,,,,,,,,
Tana Toraja,232740,234529,236255,280794,285179,291046,,,,,,,,
Luwu Utara,308142,310744,313264,322919,325052,327820,,,,,,,,
Luwu Timur,285011,289661,294288,296741,300511,305521,,,,,,,,
Toraja Utara,229709,231686,233603,261086,264145,268198,,,,,,,,
Kota Makasar,1485941,1503664,1521091,1423877,1427619,1432189,,,,,,,,
Kota Parepare,141670,143075,144446,151454,152922,154854,,,,,,,,
Kota Palopo,175106,178253,181395,184681,187331,190867,,,,,,,,
SULAWESI TENGGARA,2602389,2653654,2704737,2615030,2659940,2704610,,,,,,,,
Buton,100440,101618,102641,114800,116600,118410,,,,,,,,
Muna,218680,221343,224099,214750,218060,221370,,,,,,,,
Konawe,244324,249010,254695,255640,260290,264930,,,,,,,,
Kolaka,251520,256827,261664,237130,240100,243040,,,,,,,,
Konawe Selatan,304214,309298,314785,307470,312920,318350,,,,,,,,
Bombana,175497,180035,184570,150160,152860,155510,,,,,,,,
Wakatobi,95386,95737,95892,110880,112760,114620,,,,,,,,
Kolaka Utara,144681,147863,150831,137000,139890,142770,,,,,,,,
Buton Utara,62088,63070,64072,66270,67200,68090,,,,,,,,
Konawe Utara,60884,62403,63814,67510,69100,70680,,,,,,,,
Kolaka Timur,128154,130860,133324,120330,122170,123980,,,,,,,,
Konawe Kepulauan,33212,33680,34219,36900,37610,38310,,,,,,,,
Muna Barat,79649,80619,81624,84200,85900,87590,,,,,,,,
Buton Tengah,91099,92165,93091,113960,115800,117630,,,,,,,,
Buton Selatan,79053,79979,80784,94680,96320,97950,,,,,,,,
Kota Kendari,370728,381628,392830,344540,351060,357650,,,,,,,,
Kota Baubau,162780,167519,171802,158820,161280,163720,,,,,,,,
GORONTALO,1168190,1185492,1202631,1171681,1180948,1192737,,,,,,,,
Boalemo,158333,162577,167024,145868,147038,148526,,,,,,,,
Kab Gorontalo,374923,377048,378527,393107,395635,398801,,,,,,,,
Pohuwato,153991,157551,161373,146432,147689,149297,,,,,,,,
Bone Bolango,157186,159194,161236,162778,164277,166200,,,,,,,,
Gorontalo Utara,112975,114036,115072,124957,126521,128563,,,,,,,,
Kota Gorontalo,210782,215086,219399,198539,199788,201350,,,,,,,,
SULAWESI BARAT,1330961,1355554,1380256,1419229,1436840,1458606,,,,,,,,
Majene,169072,171272,173884,174407,175790,17739,,,,,,,,
Polewali Mandar,432692,437662,442576,478534,483920,490493,,,,,,,,
Mamasa,156973,159201,161971,163383,164800,166471,,,,,,,,
Mamuju,279393,286389,293326,278764,281850,285616,,,,,,,,
Mamuju Utara / Pasangkayu,165230,170203,174471,188861,193100,198608,,,,,,,,
Mamuju Tengah,127601,130827,134028,135280,137380,140028,,,,,,,,
MALUKU,1744654,1773776,1802870,1848923,1862626,1881727,,,,,,,,
Maluku Tenggara Barat / Kepulauan Tanimbar,111825,112429,113012,123572,124075,124787,,,,,,,,
Maluku Tenggara,99284,99591,99790,121511,122640,124199,,,,,,,,
Maluku Tengah,371479,372529,373378,423094,424730,427050,,,,,,,,
Buru,135687,139658,143688,135238,136393,137990,,,,,,,,
Kepulauan Aru,93780,95005,96114,102237,102916,103860,,,,,,,,
Seram Bagian Barat,170494,170969,171586,212393,214733,217958,,,,,,,,
Seram Bagian Timur,111573,113180,114677,137972,140271,143438,,,,,,,,
Maluku Barat Daya,72673,72840,73103,81928,82187,82560,,,,,,,,
Buru Selatan,61330,62271,63328,75410,76715,78515,,,,,,,,
Kota Ambon,444797,461699,478616,347288,347644,348225,,,,,,,,
Kota Tual,71732,73605,75578,88280,90322,93145,,,,,,,,
MALUKU UTARA,1267437,1232579,1255775,1282937,1299270,1319338,,Maluku Utara[sunting | sunting sumber],,,,,,
Halmahera Barat,114181,116516,118289,132349,134632,137541,,Kabupaten Halmahera Barat,1704.2,,,,,229439513.6
Halmahera Tengah,53075,54190,55729,56802,57799,59096,,Kabupaten Halmahera Tengah,2653.76,,,,,153384389.8
Kepulauan Sula,181738,100980,102897,104082,105309,106778,,Kabupaten Kepulauan Sula,3304.32,,,,,347973572.2
Halmahera Selatan,228169,231184,235096,248395,251720,255795,,Kabupaten Halmahera Selatan,8148.9,,,,,2051237205
Halmahera Utara,187051,190519,193832,197638,199950,202755,,Kabupaten Halmahera Utara,3896.9,,,,,779184917.3
Halmahera Timur,91999,92591,95022,91707,92985,94510,,Kabupaten Halmahera Timur,6571.37,,,,,611038087
Pulau Morotai,64376,65564,67273,74436,76112,78270,,Kabupaten Pulau Morotai,2476,,,,,188453906.2
Pulau Taliabu,24989,52506,53020,58047,58738,59601,,Kabupaten Pulau Taliabu,1469.93,,,,,86341340.43
Kota Ternate,223114,228106,233208,205001,205870,206745,,Kota Ternate,111.39,,,,,22931846.39
Kota Tidore Kepulauan,98744,100422,101410,114480,116156,118247,,Kota Tidore Kepulauan,1645.73,,,,,191160794.1
PAPUA BARAT,915361,937458,"959,617",1134068,1156840,1183307,,,,,,,,
Fakfak,76102,77381,"78,686",85197,85817,86283,,,,,,,,
Kaimana,56882,58404,"60,216",62256,62957,63633,,,,,,,,
Teluk Wondama,31072,32769,"32,521",41644,42609,43746,,,,,,,,
Teluk Bintuni,61794,63091,"64,406",87083,89418,92236,,,,,,,,
Manokwari,166780,170897,"177,346",192663,194905,197097,,,,,,,,
Sorong Selatan,45019,46021,"46,922",52469,53167,53884,,,,,,,,
Sorong,84906,86994,"88,927",118679,121963,125949,,,,,,,,
Raja Ampat,47301,47885,"48,493",64141,65403,66839,,,,,,,,
Tambrauw,13785,13804,"13,879",28379,31385,35742,,,,,,,,
Maybrat,39191,40102,"40,899",42991,43364,43681,,,,,,,,
Manokwari Selatan,22983,23617,"24,220",35949,37149,38648,,,,,,,,
Pegunungan Arfak,29731,30409,"28,808",38207,38936,39760,,,,,,,,
Kota Sorong,239815,247084,"254,294",284410,289767,295809,,,,,,,,
PAPUA,3207444,3265202,3322526,3379302,4367466,4418581,3054526,4968129,,,,,,
Merauke,220006,223389,225714,227411,235373,232357,,,,,,,,
Jayawijaya,210229,212811,214994,217887,273776,277923,,,,,,,,
Jayapura,123780,125975,128587,131802,168401,171331,,,,,,,,
Nabire,142795,145101,147921,150308,171361,173043,,,,,,,,
Kepulauan Yapen,93114,95007,97412,101204,114110,116107,,,,,,,,
Biak Numfor,141801,144697,148404,152401,135170,135796,,,,,,,,
Paniai,167325,170193,173392,177410,223402,227254,,,,,,,,
Puncak Jaya,119779,123591,126113,129300,227790,231499,,,,,,,,
Mimika,205591,210413,215493,219689,316302,321657,,,,,,,,
Boven Digoel,64674,66209,67717,69211,66071,65193,,,,,,,,
Mappi,93592,94671,99599,103292,109974,111141,,,,,,,,
Asmat,90316,92909,95606,97490,111678,113524,,,,,,,,
Yahukimo,184217,187021,189092,190887,354303,361776,,,,,,,,
Pegunungan Bintang,72511,73473,74396,75788,78432,78466,,,,,,,,
Tolikara,133786,136576,137695,139111,240277,244345,,,,,,,,
Sarmi,37511,38210,39406,40515,41515,42233,,,,,,,,
Keerom,54130,55018,55799,57100,61623,62777,,,,,,,,
Waropen,28809,29480,30612,31514,33943,34997,,,,,,,,
Supiori,18486,19104,20018,20710,22887,23247,,,,,,,,
Mamberamo Raya,21821,22313,23307,24086,38915,37616,,,,,,,,
Nduga,95885,97012,97517,98595,1078073,109630,,,,,,,,
Lanny Jaya,174782,176687,177682,178995,198780,201461,,,,,,,,
Mamberamo Tengah,46696,47487,48090,48201,51134,51719,,,,,,,,
Yalimo,59778,60822,61115,62605,103492,105139,,,,,,,,
Puncak,105521,107822,111182,113204,115549,116279,,,,,,,,
Dogiyai,93809,94997,96590,97902,117902,119815,,,,,,,,
Intan Jaya,47300,48318,48812,49293,137006,139236,,,,,,,,
Deiyai,70620,72206,72486,73199,100488,102168,,,,,,,,
Kota Jayapura,288786,293690,29775,300192,40400,410852,,,,,,,,
INDONESIA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Metadata Indikator,,,,,,,,,,,,,,
Indikator,,,,,,,,,,,,,,
Indeks Pembangunan Manusia (Metode 2014),,,,,,,,,,,,,,
