Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Klungkung,7112017.62,7784619.12,8459337.54,9099504.1,8450673.79,8534432.93,9210208.54
Bangli,5457228.4,5976573.29,6490234.11,6993642.45,6716085.63,6825455.95,7337505.92
Karangasem,13410890.81,14598384.61,15886255.44,17086880.04,16399774.86,16506624.87,17669491.36
Buleleng,27690111.55,30318755.13,32926626.84,35362315.65,33302721.44,33363288.29,35805284.19
Kota Denpasar,42384434.38,46835754.88,51374779.12,55456044.06,49607461.84,49687176.87,54650427.19
Lombok Barat,12633108.42,13942828.32,14470435.89,15452078.97,14567264.74,15407346.12,16561845.38
Lombok Tengah,14423751.17,15779244.25,16702136.71,17847298.26,16666623.89,17686597.23,19243330.35
Lombok Timur,15971050.95,17549454.41,18835069.42,20312142.09,20019036.31,21053632.77,22599855.8
Sumbawa,11373041.39,12648920.99,13686854.44,14803285.32,14446250.14,15011023.46,16093638.72
Dompu,5554267.88,6144742.11,6670370.66,7164672.91,7064359.52,7339065.88,7825997.01
Bima,9130540.37,10030687.02,10832083.05,11630913.49,11406410.58,11857261.13,12735030.25
Sumbawa Barat,25731463.84,23938406.18,17143397.69,17431937.24,22764196.8,23764531.63,31512494.38
Lombok Utara,3972339.1,4353683.2,4461899.51,4862645.87,4549104.46,4715399.02,5050980.27
Kota Mataram,14799967.44,16521355.94,17964323.18,19477378.82,18669607.67,19696503.08,21182263.55
Kota Bima,3299429.61,3632894.65,3945922.44,4267454.87,4133087.39,4300753.56,4574612.88
Sumba Barat,1827798.88,1988825.4,2168939.69,2334270.55,2351536.21,2416823.98,2583328.17
Sumba Timur,4958378.6,5370176.55,5816332.94,6256177.54,6254369.23,6403409.51,6825709.43
Kupang,6020701.71,6530311.3,7140157.68,7602122.2,7637388.05,7986115.34,8482036.63
Timor Tengah Selatan,6158789,6727603.93,7369199.07,7919627.89,7942761.08,8243252.17,8810387.57
Timor Tengah Utara,3269833.75,3532401.9,3825631.29,4088904.66,4082274.46,4222698.47,4493531.05
Belu,3451520.77,3784671.22,4147192.39,4482254.45,4549707.19,4699016.88,5037063.48
Alor,2409878.18,2594740.35,2831309.8,3055042.2,3052784.74,3166850.46,3362313.43
Lembata,1465327.12,1586163.06,1724744.75,1856806.64,1854272.91,1912757,2018074.56
Flores Timur,4163252.66,4511123.61,4900913.87,5246068.64,5269530.16,5380269.41,5643376.17
Sikka,3973809.47,4326749.11,4732351.03,5121992.55,5112018.75,5317677.89,5703285.2
Ende,4910666.46,5266647.4,5689963.48,6105192.79,6075210.35,6314656.6,6792616.92
Ngada,2788919.74,3014618.68,3233025.3,3473019.37,3493655.06,3578328.53,3819385.61
Manggarai,3640754.76,3964645.6,4332594.72,4677114.28,4646207.55,4762395.77,4994854.86
Rote Ndao,2404822.55,2635282.43,2883900.16,3133983.68,3169434.41,3279565.33,3517705.87
Manggarai Barat,2656881.72,2896539.4,3187960.31,3466379.69,3519370.01,3611635.58,3883612.14
Sumba Tengah,917156.6,999011.85,1093556.51,1176634.28,1195858.81,1230398.45,1303392.28
Sumba Barat Daya,2960487.63,3198892.3,3478338,3754697.9,3769102.22,3887066.39,4175045.97
Nagekeo,1772395.72,1928589.99,2102044.11,2241365.6,2271905.01,2346339.22,2487416.23
Manggarai Timur,2493607.12,2720529.18,2969624.88,3212949.34,3288765.17,3412906.17,3649841.02
Sabu Raijua,1079238.74,1190444.51,1306609.03,1416734.04,1414515.37,1448629.29,1543494.85
Malaka,2180755.16,2357373.35,2567429.42,2780150.45,2832646.9,2929898.08,3146299.56
Kota Kupang,18763435.12,20571174.23,22498164.62,24410950.69,23913107.35,24410337.33,26199550.26
Sambas,16026436.38,17506898.83,18984588.5,20529976.46,20669991.11,22293194.08,24415408.15
Bengkayang,6724042.41,7389965.41,7999796.42,8645002.95,8672733.96,9318527.82,10324506.41
Landak,8193698.63,8963775.89,9755298.04,10546904.63,10739185.16,11614172.69,12775764.64
Mempawah,6320309.8,6968917.65,7603864.08,8298154.64,8545286.33,9084515.84,9955619.85
Sanggau,15472499.26,16897887.24,18119163.6,19158574.37,19921366.78,21678774.37,23847058.94
Ketapang,20021146.13,22495910.92,25000288.86,27488713.49,28105903.35,30911315.92,34315187
Sintang,11202046.76,12282698.81,13390619.49,14681419.84,14711073.81,15749078.86,17330129.01
Kapuas Hulu,7842491.2,8678123.81,9427193.33,10205696.04,10273876.1,11071935.29,12187100.86
Sekadau,4808581.69,5314817.43,5856919.48,6432288.91,6568785.1,7132689.94,7884125.76
Melawi,4007440.04,4359086.19,4740568.63,5143748.58,5232208.59,5626604.42,6176540.85
Kayong Utara,3152560.95,3490006.3,3796363.35,4133122.22,4206755.27,4533991.24,4980741.54
Kubu Raya,21135942.12,23700994.16,26343571.76,29105094.88,28930519.41,31231417.06,35275464.64
Kota Pontianak,30474535.15,33416835.37,36075298.95,38708215.95,37648509.69,40200359.04,44320310.5
Kota Singkawang,8223235.81,9013049.66,9691384.46,10228390.5,10126224.99,10877846.7,11931618.9
Kotawaringin Barat,14578520.84,16344793.95,17827431.51,19332098.04,20521899.85,23708753.57,26265063.99
Kotawaringin Timur,19622899.89,22390687.01,24565446.71,26809508.03,26996329.66,29678169.54,33458430.49
Kapuas,12002852.43,13561465.61,15177558.35,16616838.7,16565137.1,18695936.39,22998135.63
Barito Selatan,4889187.37,5410055.7,5946350.99,6369126.15,6277921.75,6681133.27,8131626.99
Barito Utara,7358808.86,8254823.99,9220709.14,9801119.59,9391707.3,10565226,14297642.46
Sukamara,3205097.36,3579967.13,3876161.3,4193483.92,4421503.75,4943668.71,5459988.14
Lamandau,4072716.06,4524346.54,5005075.35,5489935.61,5773834.62,6566594.46,7343096.79
Seruyan,6909310.67,7585616.3,8061833.49,8552209.91,8768548.77,9890066.35,10808711.83
Katingan,6127500.86,6805596.05,7526197.34,8223734.66,8297242.54,9040860.54,9968593.07
Pulang Pisau,4029798.26,4435289.81,4882525.05,5297948.62,5588534.44,5969695.94,6464138.66
Gunung Mas,4234268.64,4694379.02,5159194.47,5737900.49,6275035.35,7173231.74,8135262.31
Barito Timur,5627639.07,6323809.97,7043149.5,7548501.93,7103694.89,7949947.24,10945007.21
Murung Raya,6148638.05,6831135.71,7612047.58,8138125.22,7762811.3,8917593.23,12998614.08
Kota Palangka Raya,12792939.98,14532145.67,16603158.62,18330719.52,18277196.12,19649166.94,21954874.76
Tanah Laut,11392817.74,12329412.41,13241237.45,13902297.08,13786685.56,15326244.74,19019178.93
Kota Baru,19489362.72,21336569.18,22863018.51,24113346.66,23957046.98,26492463.18,33313304.08
Banjar,13339967.45,14411981.69,15569054.28,16626075.57,16527375.5,17934282.46,21071724.88
Barito Kuala,6843250.46,7444774.66,8055963.53,8696327.87,8710471.97,9174921.47,9871873.16
Tapin,6897021.12,7430807.64,7999159.37,8438249.39,8393891.5,9387409.72,12770255.04
Hulu Sungai Selatan,5198552.51,5655334.31,6158256.68,6555479.18,6564931.01,7125712.36,8349097.08
Hulu Sungai Tengah,5647634.82,6109980.6,6579335.7,7039389.04,7052349.92,7394016.1,7947821.59
Hulu Sungai Utara,3865387.5,4190377.35,4573844.56,4940268,4968807.73,5253448.85,5671781.95
Tabalong,15276908.66,16211699.57,17319538.88,18175413.59,17742456.98,19934957.43,29172842.76
Tanah Bumbu,16559268.28,17861272.06,19074223.89,20036047.04,19899648.32,22387305.27,31058585.38
Balangan,9418512.88,10061817.36,10751678.17,11027661.3,10722299.39,12201610.56,19540390.18
Kota Banjarmasin,25294181.86,27838797.46,30394019.77,33012593.07,32727171.4,34596065,38498355.31
Kota Banjar Baru,7171819.77,7932470.34,8734149.61,9701100.82,9538459.18,10003080.05,11788180.52
Paser,37289694.49,43954254.84,48054117.69,48025891.19,43234505.66,53887948.57,76201776.04
Kutai Barat,22021133.01,25787193.5,28353170.54,29135145.3,27169270.71,32093136.01,43409061.26
Kutai Kartanegara,127869342.8,149220000,161920385.8,162105543.9,149045196.8,177416584.2,240402389.8
Kutai Timur,95186295.59,120264728.8,127935404,133873512.6,115555661.6,136617573.3,211094483.7
Berau,30814337.31,35656556.18,37661474.14,39104693.57,35450848.9,43036483.47,60155558.08
Penajam Paser Utara,7681674.05,8480809.02,8877834.1,9124942.07,9050576.5,10089643.12,13187390.18
Mahakam Ulu,2142118.32,2337696.08,2511282.43,2718225.58,2765994.39,2972865.58,3169293.29
Kota Balikpapan,80201919.72,87716528.79,97699383.86,105138568.1,103918750.6,111382197.7,127325667.4
Kota Samarinda,52647368.58,58443748.71,63564686.76,67604540.75,66526911.43,71170547.8,83335592.94
Kota Bontang,55239308.65,58885677.79,58785886.17,58006656.54,55664039.6,57949626.32,63109984.27
Malinau,7288638.2,8497620.25,9364802.62,10618375.54,11155866.33,12858768.65,17573724.45
Bulungan,13634741.06,15265248.47,16796823.01,18344046.92,18736572.3,20341959.1,24222774.6
Tana Tidung,4209730.69,4753743.1,5145591.47,5663548.71,5873234.17,6673092.18,8610140.61
Nunukan,16501994.36,20040898.42,22576028.62,25430864.44,26300564.4,29779871.6,40229006.3
Kota Tarakan,24386398.17,28004129.76,31670824.12,36266948.88,38053065.97,41858398.34,47493261.34
Bolaang Mongondow,5947053.38,6524201.18,7221430.9,8030465.12,8392403.2,8970178.47,9776743.18
Minahasa,13326819.15,14496512.68,15773922.44,17119637.74,17427126.46,18643140.67,20369103.9
Kepulauan Sangihe,3363679.48,3663011.76,3931775.73,4247878.03,4383252.81,4791110.18,5223114.39
Kepulauan Talaud,1772970.15,1919783.49,2048962.9,2207729.55,2266563.68,2421876.51,2631254.5
Minahasa Selatan,6667584.73,7344250.34,7949041.78,8599650.08,8780262.07,9581826.32,10526853.35
Minahasa Utara,10405744.19,11449667.63,12623408.43,13838672.96,14372458.61,15699365.59,17226062.26
Bolaang Mongondow Utara,1923674.72,2103357.59,2282855.64,2487774.7,2574259.52,2727972.97,2982217.05
Siau Tagulandang Biaro,1765051.27,1950875.85,2160077.01,2366737.63,2447459.91,2626950.56,2856399.1
Minahasa Tenggara,3962468.07,4365550.32,4713095.7,5112061.18,5213518.88,5623625.04,6147384.78
Bolaang Mongondow Selatan,1576710,1727328.66,1900606.44,2083907.77,2153237.67,2296392.54,2503515.64
Bolaang Mongondow Timur,2207983.8,2422595.92,2626467.67,2878949.6,3080903.6,3246497.2,3532941.18
Kota Manado,28331188.95,31111634.38,34200431.94,37386743.27,36618403.14,39531000.8,43920436.56
Kota Bitung,12682455.27,14082679.26,15163426.63,16309509.56,17084995.56,18677629.81,20620259.81
Kota Tomohon,3222611.12,3593272.53,3921193.83,4290122.19,4371177.86,4586612.44,5034345.22
Kota Kotamobagu,2718998.74,2985959.48,3334652.03,3694343.99,3791274.78,4032377.5,4412657.65
Banggai Kepulauan,2997231.27,3299736.46,3601970.38,3865667.56,3833548.05,4130115.22,4568791.04
Banggai,20879285,23843658.69,26853265.89,29527932.6,27360880.1,30845705.5,40884589.93
Morowali,14533426.36,17035853.36,37356484.45,45349583.77,62148344.27,98916807.42,146599319.4
Poso,7285051.51,8021441.15,8687017.64,9471862.45,9214474.12,9932090.61,10891751.76
Donggala,9983620.54,10765789.17,11260129.7,12040466.7,11737411.49,12558316.49,13769850.83
Toli-Toli,6564899.37,7137848.95,7866878.19,8452601.36,8320823.11,8901213.79,9697264.87
Buol,4808971.86,5146510.12,5521973.16,5716683.62,5637527.18,6133097.36,6712637.69
Parigi Moutong,14245743,15802166.15,16971882.56,17844979.6,17197683.9,18438952.1,20061496.63
Tojo Una-Una,4595223.56,4989815.19,5302054.69,5691846.82,5586625.29,5938990.44,6376490.46
Sigi,7263948.35,7876671.1,8422171.97,8979021.84,9029080.49,9729697.88,10600722.75
Banggai Laut,1843187.04,2006463.48,2233054.88,2390825.91,2372478.16,2525763.43,2803560.31
Morowali Utara,8317377.26,8968534.09,10161290.28,11091330.58,11160860.58,13102645.27,21098783.3
Kota Palu,18570030.36,20416019.12,22726172.53,25033058.8,24165891.06,26170654.93,28445143.63
Kepulauan Selayar,4666086.03,5223199.38,5857277.94,6444224.78,6392741.35,6835395.93,7480469.86
Bulukumba,10769938.29,12068741.55,13198917.32,14214593.94,14565486.46,15868864.34,17233311.24
Bantaeng,6297397.01,6942456,7769501.82,8781044.54,8970476.77,10081398.85,12164144.5
Jeneponto,7849191.66,8614595.11,9416911.73,10089861.29,10288558.63,11053253.56,11779825.13
Takalar,7750360.01,8559004.6,9324821.98,10157346.94,10220311.17,11126106.9,12257053.58
Gowa,15471108.22,17192664.1,19071982.68,20938996.54,21531877.32,23536837.73,25611853.02
Sinjai,8294879.43,9138199.86,10163057.33,10960624.78,11325053.91,12297080.12,13530369.3
Maros,17861530.8,19440014.72,21311332.1,22717974.51,18621037.74,19005611.47,23544303.31
Pangkajene dan Kepulauan,20555568.88,22293955.79,23944893.26,25990178.03,25662546.57,27574738.39,30481857.34
Barru,5458751.84,5961951.15,6614101.75,7271220.83,7432295.76,8057257.24,8878366.64
Bone,26254402.04,29319723.69,33120526.6,36034839.17,36560640.4,39369964.17,43640843.99
Soppeng,7895939.53,8876207.02,10005938.3,10938272.12,11382122.02,12426781.61,13741836.11
Wajo,16544735.87,17832106.02,18709890.44,19838813.53,19773053.62,22319744.48,24352778.91
Sidenreng Rappang,10741961.6,11914878.78,12937370.32,13893724.49,14073432.74,15250127.36,16698995.21
Pinrang,14703754.25,16360561.94,18087778.99,19630319.95,20083012.97,21758576.93,23765146.26
Enrekang,5890898.31,6360506.96,6719799.76,7298244.01,7528639.59,8204106.07,9025308.21
Luwu,11851862.13,13026830.89,14441940.32,15657672.08,16031067.61,17839990.46,19980972.19
Tana Toraja,5460379.59,6054907.73,6824872.59,7479773.62,7571142.15,8087091.55,8757441.62
Luwu Utara,9776941.87,10787078.51,11999256.5,13047331.17,13237249.37,14408381.08,16050743.43
Luwu Timur,17395068.4,18341283.09,20393893.93,20994219.79,21529809.64,23614515.03,28407908.38
Toraja Utara,6788214.99,7720936.47,8696497.07,9596352.48,9721428.13,10344298.97,11311305.84
Kota Makasar,128045368.7,142448701.4,160207659.3,178430057.2,178332992.8,190318065.3,208935792.3
Kota Parepare,5525927,6092581.33,6602362.55,7230401.13,7323651.3,7826238.24,8697277.09
Kota Palopo,5886518.12,6514938.67,7285142.35,7942481.04,8025289.92,8714311.89,9767894.84
Buton,3048271.39,3285243.3,3549806.49,3838522.3,3816726.37,4036294.35,4595486.64
Muna,5455094.26,5920798.17,6420780.55,6928623.3,6983650.85,7365510.8,8261286.83
Konawe,6655644.05,7233615.88,8286262.01,9514356.57,10362225.67,11542294.53,14269547.47
Kolaka,18374426.92,21337133.57,23656632.04,25891406.81,25622949.15,27532648.08,31407162.56
Konawe Selatan,9221685.82,10197998.29,11170287.17,12105045.68,11823219.79,12654684.64,14536501.44
Bombana,4929882.91,5478862.88,5896515.23,6385420.45,6559653.39,6913334.35,7780295.81
Wakatobi,3303672.35,3629020.78,3997974.59,4355854.77,4429269.33,4708750.5,5241897.63
Kolaka Utara,6608051.53,7262120.28,7955539.21,8674218.43,8835243.98,9188014.05,10110989.96
Buton Utara,2407383.2,2644755.44,2876546.92,3130904.14,3211187.78,3420716.92,3801577.64
Konawe Utara,2959426.32,3263494.79,3591795.67,3926028.91,3966227.31,4262560.98,4799246.7
Kolaka Timur,3501839.53,3795898.57,4065157.73,4427152.31,4496336.7,4834045.14,5273679.65
Konawe Kepulauan,1041454.85,1152590.12,1262006.84,1384400.77,1398579.7,1467816.51,1579445.65
Muna Barat,1967478.71,2141049.79,2358289.69,2589005.44,2618031.13,2789510.16,3070004.01
Buton Tengah,1799687,1975533.47,2169779.51,2337242.14,2428673.5,2536097.61,2794153.98
Buton Selatan,2235730.15,2464265.38,2693687.35,2905029.02,2874729.8,2993971.15,3314103.26
Kota Kendari,17066573.56,18664137,20285726.42,22153506.64,22045697.95,23689814.51,26455947.2
Kota Baubau,6776550.04,7507917.74,8251064.01,9037831.28,9075847.22,9627567.12,10711389.94
Boalemo,4140199.84,4534413.48,4953066.88,5411181.78,5490261.32,5732643.89,6111907.41
Kab Gorontalo,9993983.32,10884657.23,11834516.01,12880839.3,13044896.59,13713963.08,14889329.4
Pohuwato,5118663.7,5576607.45,6083528.57,6621889.02,6736096.55,7055541.65,7535989.85
Bone Bolango,3508130.52,3850320.91,4201159.27,4578245.84,4648780.64,4875938.64,5278687.98
Gorontalo Utara,2561091.2,2806611.57,3079617.49,3369049.12,3429387.62,3592422.36,3853833.24
Kota Gorontalo,6466378.45,7096838.22,7748239.18,8452775.68,8535980.21,8987562.53,9755747.17
Majene,3800987.8,4190428.24,4612692.58,4970738.55,4986821.27,5204281.25,5536729.49
Polewali Mandar,10314865.09,11334564.97,12442690.11,13369858.8,13272645.66,13803295.58,14842825.68
Mamasa,2333178.48,2533788.6,2763513.22,2977766.41,2991984.64,3129993.12,3294422.96
Mamuju,9090269.25,10027449.74,10999826.42,11721694.55,11700056.01,12434742.35,13380485.7
Mamuju Utara,8043929.68,8812815.95,9584654.66,10094151.31,10287414.97,12390482.68,13185263.23
Mamuju Tengah,2486430.74,2693678.06,2974458.63,3146390.86,3213398.65,3563482.38,3813778.22
Maluku Tenggara Barat,2108957.01,2291557.11,2484814.22,2684243.81,2712525.22,2868143.99,3153219.54
Maluku Tenggara,2499082.25,2753584.7,2986767.79,3225119.16,3260396.32,3431332.18,3784946.24
Maluku Tengah,7036810.78,7554920.82,8093698.98,8659718.56,8719172.19,9099878.41,9985587.48
Buru,1911674.26,2066183.13,2241801.38,2404071.76,2424732.26,2525974.46,2774403.09
Kepulauan Aru,2815719.65,3035439.97,3252879.09,3476139.55,3503735.49,3669828.68,4044846.36
Seram Bagian Barat,2424706.05,2620026.73,2810460.11,3001670.99,3029729.51,3173043.6,3499092.74
Seram Bagian Timur,2240227.93,2521150.15,2850258.28,2904398.46,2914079.35,3177711.08,3638142.75
Maluku Barat Daya,1300435.71,1404693.12,1521634.17,1645531.83,1670538.75,1737851.48,1899908.23
Buru Selatan,1112603.93,1206615.92,1304710.36,1405878.87,1418560.52,1483552.34,1627227.44
Kota Ambon,11994286.15,12824347.29,13822431.18,14808718.93,14706629.91,15562668.88,17180416.36
Kota Tual,1902436.72,2093661.54,2275288.2,2457317.31,2491340.85,2623604.41,2896960.15
Halmahera Barat,1786244.72,1943235.19,2084519.54,2242565.04,2276383.81,2352693.91,2532226.19
Halmahera Tengah,1768970.74,1931454.59,2195694.05,2416986.73,3291698.44,9658075.15,21137751.14
Kepulauan Sula,1948343.82,2117993.63,2287171.22,2484456.92,2507630.61,2597922.23,2866205.79
Halmahera Selatan,4359407.22,5138870.9,6317524.38,7221424.1,8714826.58,10925049.29,14301099.46
Halmahera Utara,4481164.72,4960428.65,5378465.88,5592458.62,5689636.66,6002947.32,6436717.76
Halmahera Timur,2512604.25,2751599.94,3206112.66,3484594.74,3541281.12,3930413.94,4180712.5
Pulau Morotai,1201896.72,1318618.37,1438405.88,1528461.54,1572463.55,1641983.99,1749114.6
Pulau Taliabu,1066095.94,1157176.79,1325581.03,1449280.97,1481429.22,1709986.08,1877137.83
Kota Ternate,7877219.49,8687261.07,9687833.41,10632249.58,10480199.66,10974363.32,12305484.79
Kota Tidore Kepulauan,2256383.99,2440999.12,2660796.74,2880484.17,2939566.79,3028404.56,3292906.83
Fakfak,4078847.29,4495038.3,4904662.1,5263400.01,5200934.32,5340478.25,5598815.08
Kaimana,2153068.36,2366402.14,2580272.03,2740004.47,2699399.61,2672399.36,2741693.27
Teluk Wondama,1211720.13,1339523.56,1450803.87,1561238.5,1538381.19,1559346.28,1663269.57
Teluk Bintuni,24644843.79,25877170.93,28998662.89,31332444.58,31006052.11,31380552.91,34935197.12
Manokwari,7618978.16,8380671.2,9159626.19,9767074.92,9327745.73,9834864.51,10292133.14
Sorong Selatan,1481089.27,1629113.26,1760316.66,1908124.62,1859607.07,1965129.27,2104565.19
Sorong,8941760.32,9433808.46,10489106.57,11066402.29,10791867.4,11194701.56,11545124.9
Raja Ampat,2416183.08,2472277.55,2703433.37,2960189.55,2983263.57,3434840.44,4066081.85
Tambrauw,174984.6,193672.86,212314.68,236188.78,238735.82,243689.75,255920.23
Maybrat,544384.47,608704.42,675632.09,734878.72,732067.73,751293.99,783841.62
Manokwari Selatan,648129.09,697826.86,757544.02,844693.73,832753.47,859469.3,887712.51
Pegunungan Arfak,156855.95,167511.35,187679.91,207470.35,226967.77,242960.85,279441.37
Kota Sorong,12363348.45,13821686.53,15097466.21,15895710.81,15639292.75,15475713.35,16169130.24
Merauke,11677522.24,12880197.72,14536817.92,16023135.34,16026177.57,16348481.81,17326133.19
Jayawijaya,6130625.98,6802801.85,7614070.79,8331539.26,8255378.36,8438720.65,9166376.36
Jayapura,11510819.41,12891148.42,14531351.24,16381306.12,15974726.72,17024610.79,18214759.04
Nabire,8617129.06,9483997.59,10340871.94,11084220.05,11178380.9,12015163.23,12692861.49
Kepulauan Yapen,3347134.84,3610759.64,3907656.82,4250565.02,4150234.46,4472789.89,4657798.79
Biak Numfor,5052004.12,4991922.71,5183882.22,5486107.53,5223669.5,5500036.48,5885764.85
Paniai,3279409.05,3529979.29,3894878.91,4181796.55,4283393.78,4446534.78,4705228.7
Puncak Jaya,1124021.23,1207060.98,1300994.67,1404627.28,1387234.12,1407071.97,1450208.82
Mimika,64963006,74227269.06,85333875.01,54834540.28,63716335.09,95216352.2,110407810.4
Boven Digoel,3918084.45,4264634,4566549.78,4818163.77,4820544.4,4952108.1,5073332.22
Mappi,2171824.81,2428701.71,2674531.74,2957682.98,2991706.66,3126986.82,3350635.71
Asmat,1832209.21,2038249.15,2258836.8,2470834.23,2569009.86,2694794.31,2885876.31
Yahukimo,1845084.14,2049187.57,2231866.09,2422166.84,2504255.58,2626037.93,2704566.43
Pegunungan Bintang,1470157.03,1620159.59,1763242.6,1913609,1968754.16,2079566.63,2202882.19
Tolikara,1233926.41,1346817.43,1463354.55,1593214.05,1672316.2,1715523.85,1834246.37
Sarmi,2058305.17,2292218.73,2534430.42,2819691.88,2937445.8,3117173.56,3304366.1
Keerom,2336181.86,2540848.76,2701905.41,2855769.65,2925043.71,3060427.35,3206203.9
Waropen,1601465.36,1762695.91,1916368.63,2052786.84,2044753.02,2114268.75,2313603.36
Supiori,830435.39,893200.62,946748.46,1009182.25,1042046.53,1087346.71,1139201.53
Mamberamo Raya,1189023.71,1333828.01,1484862.81,1646546.47,1722344.09,1835562.16,1976407.56
Nduga,908485.53,1019098.32,1118455.39,1216569.56,1269942.27,1345724.47,1413564.28
Lanny Jaya,1382987.55,1530443.55,1676460.88,1828866.55,1930042.15,2020051.93,2145984.03
Mamberamo Tengah,899636.12,988831.57,1080533.34,1163650.26,1213549.36,1261727.85,1287092.95
Yalimo,915638.97,1007186.18,1115609.9,1221433.89,1283663.57,1354408.92,1440286.43
Puncak,1029521.82,1150191.15,1286280.95,1400812.17,1438051.2,1513264.81,1612809.92
Dogiyai,1001944.37,1098784.65,1207712.89,1313231.87,1355634.4,1411759.29,1445339.59
Intan Jaya,1020714.7,1086636.9,1183785.69,1248658.73,1273026.86,1303463.47,1362067.73
Deiyai,1063060.95,1157359.22,1267399.51,1389136.93,1435664.55,1490801.19,1574243.63
Kota Jayapura,26029777.03,28117031.35,30422576.27,32325747.5,32019125.94,33138990.95,35428724.03
