Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Agam,16693045.25,17834986.34,19145918.5,20540992.18,20376570.25,21351359.64,23827651.5
Lima Puluh Kota,12677544.49,13531194.73,14525483.21,15625340.42,15541500.82,16182473.43,17900761.78
Pasaman,7335785.21,7801982.13,8318765.11,8907768.5,8969724.02,9433249.73,10390577.65
Solok Selatan,4598219.45,4893871.26,5214850.48,5574519.08,5530553.59,5777977.93,6429236.43
Dharmasraya,8437660.72,9054276.65,9697640.71,10349563.18,10243274.28,10754664.96,12233469.96
Pasaman Barat,12794249.97,13699696.35,14603178.2,15401338.08,15253000.84,15931875.79,17889125.53
Kota Padang,49386263.76,53091095.1,57506842.01,62420470.82,62181006.08,65179471.01,72961651.23
Kota Solok,3241245.94,3469035.58,3728256.36,4047979.83,4041639.82,4251892.56,4793153.11
Kota Sawah Lunto,2937954.38,3165214.99,3404518.84,3679850.22,3656590.97,3850697.74,4389916.49
Kota Padang Panjang,2774050.1,2974350.89,3198031.98,3474832.65,3473230.92,3651118.22,4086546.1
Kota Bukittinggi,6783086.09,7453106.84,8011062.02,8695316.61,8627533.47,9026564.58,10194020.58
Kota Payakumbuh,5203120.37,5639684.44,6134700.3,6825167.93,6827094.79,7303109.35,8250302.95
Kota Pariaman,4036741.93,4309010.19,4615745.62,5005498.56,4994093.59,5258657.04,5881852.94
Kuantan Singingi,27521697.88,29504316.04,30463627.94,31869962.39,33683570.47,38769359.13,44994478.72
Indragiri Hulu,37033140.69,38726745.61,40386220.27,41592733.57,42449699.95,47761636.02,54453881.83
Indragiri Hilir,57291702.92,60870710.94,60180013.34,62697908.77,65043511.86,73393634.02,83422590.4
Pelalawan,41164867.7,43840641.91,46073490.3,47732021.83,50681062.93,57618561.1,65569242.36
Siak,78941933.07,79593518.66,84262911.87,82105132.65,77007218.27,89636127.78,107025755.6
Kampar,69676254.62,71571023.54,77152929.69,77267151.39,73001798.29,86455977.62,103887885.4
Rokan Hulu,29145614.95,30992304.95,32290185.17,33882260.19,36087003.01,42177506.45,49614314.49
Bengkalis,132200503.5,132978169.7,148603299.8,140378907.1,114583994.7,139613491.4,176013376.6
Rokan Hilir,73268027.78,73997256.13,78620928.77,74588117.75,67892362.7,80102629.39,96066418.28
Kepulauan Meranti,16044100.32,16725883.45,18163640.55,18394545.3,18066187.19,21093086.19,24899424.54
Kota Pekanbaru,92129330.93,101113420,108571373,118763892.1,115486901.4,126530123.1,144583265.9
Kota Dumai,27962260.29,30342836.58,33076213.76,36147146.52,36313730.07,39946105.99,45056372.09
Kerinci,8052841.08,8875707.51,9408036.38,9912468.66,10460271.15,11237959.76,12225697.77
Merangin,12129532.64,13518638.5,14452747.43,15288073.47,15670880.89,17837616.79,20284059.99
Sarolangun,12238482.03,13451752.83,14502492.18,15126920.14,14429424.24,16558802.07,20772095.19
Batang Hari,13358217.27,14695344.69,15663916.87,16463293.47,16392804.31,18809585.54,24304974.23
Muaro Jambi,19137815.09,21334800.47,22960990.21,24294993.41,24382388.38,27596969.47,32968476.22
Tanjung Jabung Timur,18712179.77,21044142.88,24111743.94,24680300.18,19563266.92,21783617.19,25606191.59
Tanjung Jabung Barat,31443365.82,35670940.16,41458277.05,42945449.52,37133854.04,42080582.43,50081468.28
Tebo,11633880.82,12981953.63,13839068.46,14593435.01,14737984.32,16951480.67,19702194.42
Bungo,14371138.37,16022888.06,17303257.12,17895939.78,17305753.26,20089145.85,24926313.98
Kota Jambi,24405528,26293309.98,28797406.24,30636929.87,29465149.83,31893581.19,36141956.24
Kota Sungai Penuh,5731479.59,6371292.65,6951102.4,7479424.37,7562248.32,7980858.72,8680233.97
Ogan Komering Ulu,11470607.49,12373945.6,13383129.98,14647672.61,14815089.63,15731556.98,17613748.14
Ogan Komering Ilir,23312037.08,25096493.5,26839366.84,28752468.86,29291965.54,31284659.12,34459322.71
Muara Enim,41766505.15,45782758.92,52695301.68,57333510.43,57493553.19,69651968.07,113167464.8
Lahat,14262695.31,15035348.18,15984334.26,17130200.59,17230571.29,19515736.56,26750478.95
Musi Rawas,14758367.54,15877312.25,17495006.76,19062784.3,19237351.36,20415494.66,22342116.54
Musi Banyuasin,52773522.43,56020033.18,60861458.42,65810995.08,65943884.71,72744724.68,82736539.85
Banyu Asin,22732940.22,24501190.27,26542714.39,28655740.78,29100611.08,30993963.76,34442765.67
Ogan Komering Ulu Selatan,7014614.65,7592138.1,8136433.71,8785707.21,8971730.78,9531358.4,10343498.04
Ogan Komering Ulu Timur,12132110.04,12823900.21,13727122.43,14935851.05,15282540.5,16244760.05,17862842.01
Ogan Ilir,8833776.21,9514376.07,10315106.26,11159403.69,11328476.71,12050381.28,13261642.83
Empat Lawang,4159754.5,4407371.57,4695136.07,4991079.29,5084151.68,5392035.97,5837967.01
Penukal Abab Lematang Ilir,5386871.3,5845939.29,6493087.88,7083680.44,7129729.96,7527336.06,8194744.93
Musi Rawas Utara,6055725.82,6393132.2,6751112.19,7103694.8,7194147.71,7745107.6,8548814.1
Kota Palembang,118344290.9,129400326.1,141908624.7,154220318.1,155203911.8,162137295.5,179199804.7
